time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.012149,-0.0286,-0.0313,-0.2058,0.21
0.035893,0.0602,-0.0248,0.4444,0.449
0.058429,-0.0096,-0.0505,-0.0498,0.072
0.079711,0.0913,-0.122,-0.0521,0.161
0.090481,0.0778,-0.1273,-0.134,0.201
0.104508,0.0223,-0.1395,-0.0585,0.153
0.124304,0.0042,-0.1088,0.2271,0.252
0.144641,0.0585,-0.0832,0.2859,0.303
0.179312,0.221,-0.1696,0.2264,0.359
0.18535,0.221,-0.1696,0.2264,0.359
0.205682,-0.0777,-0.0558,0.0384,0.103
0.226381,-0.1677,-0.0124,0.0343,0.172
0.246416,-0.066,0.0061,0.1604,0.174
0.279464,0.0951,-0.0555,-0.0485,0.12
0.291442,0.1033,-0.0956,-0.0157,0.142
0.308016,-0.0282,-0.1001,-0.1999,0.225
0.329012,0.0005,-0.2535,0.2726,0.372
0.348965,0.5352,-0.2934,0.6548,0.895
0.379274,0.8498,-0.2643,-0.022,0.89
0.392526,1.3989,-0.4961,0.2392,1.503
0.4102,1.261,-0.6477,1.0375,1.757
0.430667,-0.1527,0.304,0.6346,0.72
0.451172,-0.7487,0.202,0.3892,0.868
0.475336,-1.4153,-0.6953,0.4622,1.643
0.492301,0.9934,-0.5522,0.7557,1.365
0.512614,2.9749,-0.9028,0.1455,3.112
0.533297,1.1142,-0.2209,-0.4727,1.23
0.553655,-0.075,0.3758,-0.8508,0.933
0.577589,0.3976,-0.179,-0.6427,0.777
0.595142,1.1636,-1.069,-1.1689,1.965
0.61602,5.043,-1.2297,-1.4374,5.386
0.63724,4.9499,0.0021,-0.1579,4.952
0.656943,-6.5178,2.1776,-1.625,7.061
0.678256,-10.9702,1.6958,2.4396,11.365
0.71496,-2.2157,-0.8632,0.1804,2.385
0.732737,-0.2794,-0.0318,0.1098,0.302
0.750029,1.3226,0.0283,0.5534,1.434
0.767225,1.7735,-0.2063,0.5472,1.867
0.790379,-2.2011,1.3953,0.7762,2.719
0.806546,-1.8581,0.792,0.3155,2.044
0.821405,-1.0887,-0.411,0.4243,1.239
0.841797,-1.6544,-0.5374,0.4258,1.791
0.862768,-2.5905,-0.6733,-1.5026,3.07
0.88757,-1.6724,0.5384,0.618,1.862
0.905445,-1.1894,0.4417,1.1726,1.728
0.923225,-0.9899,0.0116,-0.2378,1.018
0.943891,0.2463,0.2497,-0.8125,0.885
0.964232,1.7846,0.0838,-1.2848,2.201
0.988759,5.9518,0.0515,1.0906,6.051
1.008078,5.5289,-1.0332,0.0294,5.625
1.025969,2.0677,-0.8148,-0.4975,2.277
1.046477,1.8898,-0.5467,-0.0423,1.968
1.067281,2.677,-1.1146,0.9295,3.045
1.088966,3.1814,-0.6966,0.9384,3.389
1.107988,2.8206,-1.0837,0.7838,3.122
1.130253,2.6518,-1.8761,1.9324,3.78
1.150993,-0.3039,-1.2021,0.1792,1.253
1.188581,-1.9025,0.5896,0.0831,1.994
1.207841,-5.0839,1.6768,0.4658,5.374
1.220716,-0.5503,-1.9259,0.913,2.201
1.234093,0.2417,-1.9589,2.2576,2.999
1.254666,5.3901,-1.8244,-0.0911,5.691
1.286469,-1.9216,3.3085,-3.8064,5.397
1.30548,-2.1103,2.79,-0.6925,3.566
1.319606,0.2145,1.5713,-0.1016,1.589
1.336426,1.2854,-0.0747,0.9461,1.598
1.356931,-3.0831,-0.7663,-0.422,3.205
1.385216,-5.2419,-0.6053,0.696,5.322
1.403431,-6.602,-0.1966,1.1671,6.707
1.417935,-4.9408,-0.9387,1.0356,5.135
1.43849,-1.3886,-0.8111,0.1991,1.62
1.459425,-0.2099,2.0862,4.2286,4.72
1.48687,-0.2367,0.9508,1.7098,1.971
1.504746,-0.216,0.2457,-0.9195,0.976
1.520569,1.6207,-0.6543,-2.626,3.154
1.540689,-1.2591,-1.9717,-1.7144,2.9
1.562314,-0.9655,-2.4044,1.0592,2.799
1.587612,-0.9183,-0.9287,-0.8003,1.532
1.607362,1.6507,1.2527,-1.6104,2.624
1.62456,3.8346,2.228,-1.3946,4.649
1.644951,1.3592,0.8459,4.2154,4.509
1.664511,-0.1842,0.7928,4.6569,4.728
1.696437,1.1914,1.4786,-0.4739,1.957
1.708981,0.7994,0.4886,-0.1345,0.946
1.734449,0.5857,0.091,-0.3581,0.692
1.754932,-0.4451,-0.0267,-1.4219,1.49
1.772346,-0.8194,-0.1809,-0.8278,1.179
1.791411,-0.3857,-0.3219,-0.5578,0.751
1.813954,-0.1161,-0.4144,-0.8659,0.967
1.835619,-0.0175,-0.4919,-0.1992,0.531
1.857563,0.2934,0.3379,0.1764,0.481
1.869247,0.6421,0.502,-0.1169,0.823
1.891581,0.4663,0.3772,0.3613,0.7
1.913478,0.4837,0.2101,0.0492,0.53
1.935683,0.4747,0.1758,-0.4518,0.679
1.957341,0.3174,-0.1506,0.0088,0.351
1.969131,0.7406,-0.0629,0.3508,0.822
1.990741,-0.1972,-0.063,0.1596,0.261
2.014599,-0.2134,0.218,0.2286,0.381
2.034768,-0.1133,0.1742,0.1183,0.239
2.058942,-0.0583,0.375,0.0765,0.387
2.08035,0.0875,0.1667,0.1754,0.257
2.101785,-0.4086,-0.0136,0.1663,0.441
2.112598,-0.5666,-0.0871,0.219,0.614
2.134383,-0.0605,-0.0736,0.1816,0.205
2.156452,-0.1503,-0.0397,-0.0116,0.156
2.178498,-0.0455,-0.1022,0.2388,0.264
2.200828,0.2716,0.078,0.5941,0.658
2.222864,0.389,0.1683,0.0281,0.425
2.234193,0.327,0.1784,-0.0244,0.373
2.256259,0.0911,0.0151,-0.312,0.325
2.279056,0.239,-0.2505,-0.1592,0.381
2.301454,-0.0721,-0.1772,0.024,0.193
2.322932,0.2341,0.1861,0.2644,0.399
2.346121,-0.5105,0.3084,0.3539,0.694
2.35633,-0.3036,0.2436,0.4544,0.598
2.378471,0.0965,0.0119,0.0098,0.098
2.401288,0.0622,-0.0403,0,0.074
2.422556,0.3565,0.0373,-0.0451,0.361
2.445251,-0.2347,0.1909,-0.2835,0.415
2.466823,-0.0129,0.2796,-0.0085,0.28
2.477829,-0.6121,-0.6381,0.2073,0.908
2.499843,0.9224,0.0584,-0.0161,0.924
2.521969,0.361,-0.4151,-0.2707,0.613
2.544441,0.1532,0.1911,-0.0508,0.25
2.566701,-0.102,0.2072,0.5712,0.616
2.58912,-0.2773,0.0332,0.3711,0.464
2.599765,-0.4625,-0.0427,0.4481,0.645
2.623639,-0.4708,0.0045,0.2488,0.533
2.639749,-0.3694,0.0568,0.112,0.39
2.660191,0.2822,0.3279,-0.0598,0.437
2.688628,-0.2225,-0.2288,0.2373,0.398
2.718134,-0.0684,0.1555,-0.1821,0.249
2.727823,0.019,0.6747,-0.1664,0.695
2.751398,-0.1213,0.3822,0.7499,0.85
2.772645,-0.7263,0.2702,0.9485,1.225
2.78531,-2.5252,0.0831,1.0159,2.723
2.81648,-4.3253,0.8959,0.722,4.476
2.836841,-4.6186,1.0927,-0.4113,4.764
2.849169,-4.5827,0.8951,-1.6024,4.937
2.863091,-4.4882,0.8702,-2.0653,5.017
2.887922,-5.1001,0.6049,-2.151,5.568
2.903903,-5.0119,0.646,-1.3707,5.236
2.924042,1.951,0.2013,-2.5813,3.242
2.944596,12.8848,-1.0094,-1.487,13.01
2.972584,7.5918,-1.9427,-0.6904,7.867
3.006645,-2.5713,0.7887,0.8073,2.808
3.008136,-2.5713,0.7887,0.8073,2.808
3.032594,3.1293,0.0922,-1.5633,3.499
3.045447,4.5587,-0.6899,-2.1301,5.079
3.065568,4.4987,-1.5134,-1.4027,4.949
