time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004193,0.1015,-0.1421,0.1830,0.253
0.024248,0.0843,-0.0308,0.3629,0.374
0.044660,-0.0451,-0.0141,0.5030,0.505
0.067966,0.0079,-0.0561,0.3365,0.341
0.085056,0.1277,-0.0585,0.1709,0.221
0.105564,0.1519,-0.0227,0.1815,0.238
0.126098,0.1849,-0.1407,0.1853,0.297
0.146411,0.0949,-0.2157,0.1613,0.286
0.166471,0.0569,-0.2132,0.1632,0.274
0.186886,-0.0080,-0.1068,0.1233,0.163
0.207330,-0.0759,-0.0393,0.1751,0.195
0.227707,-0.0406,-0.0398,0.1584,0.168
0.249465,0.0735,-0.1391,0.1856,0.243
0.277154,0.1371,-0.1269,0.1957,0.271
0.289528,0.0573,-0.0916,0.1745,0.205
0.309659,-0.0067,-0.0090,0.0939,0.095
0.330193,-0.0975,-0.0740,-0.0501,0.132
0.350580,-0.1562,-0.1700,0.1542,0.278
0.376590,0.2877,-0.1440,0.2300,0.396
0.391654,0.2533,-0.1043,0.2751,0.388
0.411958,0.3503,0.1767,0.2458,0.463
0.433319,0.2016,0.0599,0.3851,0.439
0.453241,0.7025,0.0797,0.3485,0.788
0.476792,0.7263,0.4348,0.2782,0.891
0.494504,-2.9401,-1.3590,0.1630,3.243
0.514742,0.0995,-0.0383,0.2062,0.232
0.535514,0.9385,0.2547,-0.4704,1.080
0.556446,0.2683,0.3522,-0.2678,0.517
0.577841,-0.2165,0.3746,0.5555,0.704
0.598290,-0.8695,-0.5106,0.5976,1.172
0.619529,-0.6449,-0.5950,-0.1886,0.898
0.640418,0.0264,-0.4347,-0.1170,0.451
0.665309,2.1020,-3.3668,-0.8730,4.064
0.682788,4.0961,-2.5568,0.7021,4.879
0.701338,1.1369,1.0794,1.9856,2.530
0.723265,0.7840,1.1057,1.3713,1.928
0.742751,-1.4876,0.7528,-0.7440,1.826
0.775265,-1.0992,-0.6405,-0.1298,1.279
0.794370,-0.3301,-0.6472,0.8708,1.134
0.805234,0.0949,-0.9446,1.0203,1.394
0.825689,1.3874,-1.3415,0.2669,1.948
0.846452,2.0532,-0.8912,-0.8185,2.383
0.873922,0.6837,-0.8107,-1.4480,1.795
0.891734,0.4955,-0.5505,-0.5995,0.953
0.909116,-0.3936,-0.2602,0.7548,0.890
0.929244,0.1244,-0.2092,1.0571,1.085
0.949835,1.1380,-0.3906,0.9665,1.543
0.970591,1.0362,-0.4169,0.6050,1.270
0.991652,0.7997,-0.2462,-0.7357,1.114
1.011279,0.5237,-0.2355,0.7509,0.945
1.031765,0.2660,0.1166,0.1601,0.332
1.052391,-0.0226,-0.1615,0.8739,0.889
1.073212,-0.8014,-0.2377,0.4904,0.969
1.096054,-0.6136,0.3916,-0.3136,0.793
1.114123,-0.1268,0.9190,-0.5253,1.066
1.135536,-0.7194,1.1914,0.0400,1.392
1.156279,-1.4088,0.9561,-0.1159,1.707
1.185125,-3.0367,1.2119,-0.3397,3.287
1.208999,-2.4267,0.7463,-0.1203,2.542
1.217566,-0.6481,0.8907,-0.2058,1.121
1.240031,0.5704,1.6825,-0.2262,1.791
1.259928,-0.5561,1.7931,0.7879,2.036
1.286047,0.5156,1.3408,0.7165,1.605
1.307045,2.4352,0.0489,0.1842,2.443
1.322151,-0.0459,-0.5455,-0.3614,0.656
1.342303,-1.4000,-1.3097,0.2086,1.928
1.372429,0.3762,-2.1713,1.3266,2.572
1.391180,-1.0642,-0.5986,-0.1217,1.227
1.404312,-0.5985,-0.3093,-0.2923,0.734
1.425047,-1.6628,-0.1695,0.0064,1.671
1.446415,0.5482,-1.7142,-0.1427,1.805
1.473140,1.4905,-2.1065,-0.0343,2.581
1.491227,1.0591,-2.0212,0.4412,2.324
1.507195,0.9981,-1.3406,0.1476,1.678
1.528062,-0.0316,-2.0499,0.6276,2.144
1.548866,-1.4158,0.5570,-0.6514,1.655
1.573642,-0.9511,4.1163,0.1649,4.228
1.589208,0.7967,4.7513,0.6189,4.857
1.609260,-1.9073,3.5376,0.2605,4.027
1.629747,-1.9078,2.4393,-0.2302,3.105
1.650116,-0.5576,0.5192,-0.2157,0.792
1.671192,-0.4554,-0.3704,-0.1720,0.612
