time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.011256,0.1968,-0.1453,-0.7530,0.792
0.035487,0.0513,0.0029,0.3719,0.375
0.048457,-0.0317,-0.0274,0.2608,0.264
0.068922,0.2044,0.0899,0.2553,0.339
0.089770,0.1739,0.0815,0.4164,0.459
0.110937,0.0330,0.0322,0.1956,0.201
0.135920,0.1446,-0.0942,-0.1221,0.211
0.152881,0.0525,-0.2309,-0.0061,0.237
0.172237,0.2182,-0.2225,0.2546,0.402
0.192524,0.3044,-0.1723,0.5639,0.664
0.212662,-0.7083,-0.0172,0.9241,1.164
0.235764,-0.0036,-0.6807,0.4971,0.843
0.253931,-0.5348,-0.4960,0.2343,0.766
0.274171,-0.4670,-0.5405,1.2967,1.480
0.294670,0.3097,-0.5857,1.6785,1.805
0.315200,-0.2762,-0.7160,1.3990,1.596
0.335676,-0.2938,-0.5435,-0.3641,0.717
0.356130,0.7260,-0.3524,-0.9911,1.278
0.377199,0.3150,0.0004,-1.0870,1.132
0.397447,0.4045,0.4477,-2.2364,2.316
0.417368,-0.2713,0.2909,0.2843,0.489
0.441728,0.1726,0.0845,0.3466,0.396
0.457897,0.0296,-0.4178,0.1085,0.433
0.478397,0.4591,-0.7815,-0.3896,0.987
0.498903,0.8344,-1.1587,0.2992,1.459
0.519422,0.1857,-0.6919,1.3268,1.508
0.541301,-3.0587,-1.1532,1.4622,3.581
0.559869,-0.0011,-1.2936,0.3021,1.328
0.581041,0.9761,-0.4471,-0.8391,1.363
0.602124,2.2170,0.3917,-1.1696,2.537
0.621857,-0.5179,0.3688,-0.1758,0.660
0.643438,-1.4295,0.0372,0.4270,1.492
0.663086,-0.1416,1.6209,0.3455,1.663
0.683806,1.8632,1.2748,0.4248,2.297
0.704327,2.3335,0.9020,0.4273,2.538
0.725750,-3.5116,1.0071,-0.3870,3.674
0.754749,1.1098,1.7647,-0.5544,2.157
0.770877,-0.3961,1.9290,0.0241,1.969
0.786736,1.2992,1.4960,0.6067,2.072
0.807716,2.2310,2.8626,2.7985,4.583
0.843747,2.4775,0.5047,-4.7494,5.380
0.852940,3.7567,0.7661,-2.3257,4.484
0.868672,-2.0914,-0.5619,-0.1780,2.173
0.889192,-1.9780,-1.5740,-1.0778,2.748
0.910336,0.6707,-1.3051,-1.2524,1.929
0.943526,1.4369,-1.6651,-0.0594,2.200
0.961291,2.2085,-2.0954,-0.1176,3.047
0.973035,3.0698,-1.2225,0.5502,3.350
0.993528,4.4953,-1.0134,1.1276,4.744
1.014111,3.2948,0.0071,2.6410,4.223
1.042515,0.9326,-1.5469,3.3842,3.836
1.054508,-2.5070,-0.9151,2.9699,3.993
1.075942,-4.1311,-2.2774,-1.3007,4.893
1.097298,-3.4248,-3.0608,-3.1339,5.561
1.117925,-2.4064,-3.4347,0.6461,4.243
1.143201,-1.6452,-1.9106,2.7494,3.730
1.159640,-0.7628,-1.1329,1.7784,2.242
1.180583,-0.6593,-0.0394,0.5174,0.839
1.201413,-1.6104,2.4229,-1.6325,3.336
1.222219,1.1043,4.3830,-1.5386,4.775
1.242150,-0.3602,4.6765,-1.2079,4.843
1.262754,-1.5995,3.4181,0.4803,3.804
1.283338,-2.4503,2.1652,1.1096,3.453
1.303498,-2.8267,0.8763,0.2956,2.974
1.324651,-2.3680,0.5239,-0.6344,2.507
1.352747,-1.8461,0.5662,-0.0911,1.933
1.370111,-1.2972,0.3479,0.7303,1.529
1.386364,-1.4038,-0.0652,0.6295,1.540
1.407274,0.3342,-0.7644,0.4802,0.963
1.429096,4.2141,-1.6881,-0.2377,4.546
1.452644,4.6646,-1.7446,-0.2767,4.988
1.468832,1.0622,-0.2640,0.3745,1.157
1.489441,-0.4040,0.3126,0.4401,0.674
1.509848,0.5924,-0.0726,0.0105,0.597
1.530160,0.1227,-0.0553,-0.2361,0.272
1.551286,0.0812,-0.0337,-0.1772,0.198
1.572147,0.0793,0.0072,0.0047,0.080
1.593298,0.1251,0.0859,0.2693,0.309
1.613409,0.2614,0.1570,0.1857,0.357
1.640999,0.3496,0.1864,-0.0154,0.396
1.656593,0.1875,0.1476,-0.0092,0.239
1.675080,0.0741,0.0589,0.1233,0.155
1.696684,0.0003,-0.1253,0.2822,0.309
1.717312,-0.0765,-0.2033,0.2233,0.312
1.740315,-0.1363,-0.2406,0.1724,0.326
1.757718,-0.1333,-0.1448,0.2256,0.299
1.778268,-0.0323,0.0540,0.2382,0.246
1.799071,0.0921,0.1153,0.1593,0.217
1.819822,0.1255,0.0798,0.0487,0.156
1.840234,0.0909,0.0169,0.1871,0.209
1.860039,0.1324,0.0119,0.1817,0.225
1.882496,0.2223,0.0229,0.1032,0.246
1.902250,0.3679,0.0299,-0.0048,0.369
1.922820,0.3881,0.0296,0.0641,0.394
1.949310,0.4961,0.0500,0.0488,0.501
1.964022,0.4282,0.0828,0.1241,0.453
1.984452,0.4840,0.0938,0.0524,0.496
2.004727,0.3085,0.0836,0.1071,0.337
2.025165,0.1415,0.0123,0.1954,0.242
2.050297,-0.0306,0.0151,0.1737,0.177
2.066707,-0.1630,-0.0016,0.0975,0.190
2.087434,-0.2987,-0.0572,0.1512,0.340
2.107692,-0.2242,-0.1649,0.4679,0.544
2.128779,-0.2415,-0.0597,0.4750,0.536
2.150239,-0.2169,0.0783,0.2354,0.330
2.169522,-0.2953,0.1211,0.1498,0.353
2.190351,-0.2141,0.1635,-0.1055,0.289
2.211816,-0.0260,0.0005,0.0194,0.032
2.232279,0.0767,-0.1140,0.2140,0.254
2.261886,0.2906,-0.1382,0.2055,0.382
2.272421,0.3087,-0.1426,0.2018,0.395
2.293887,0.3435,-0.0786,0.0407,0.355
2.314382,0.3427,-0.0293,-0.0172,0.344
2.335262,0.3088,-0.0558,0.0529,0.318
2.357699,0.3001,-0.1439,0.0313,0.334
2.375785,0.2701,-0.1384,0.0139,0.304
2.396737,0.2777,0.0287,0.0966,0.295
2.417443,0.3056,0.1642,0.1304,0.371
2.449318,0.2961,0.2772,0.0684,0.411
2.467938,0.2827,0.2446,0.1222,0.393
2.479300,0.2352,0.2274,0.1388,0.355
2.500359,0.1504,0.0671,0.1141,0.200
2.520981,0.1211,-0.0619,0.0772,0.156
2.549891,0.0438,-0.1642,0.1042,0.199
2.566052,-0.0045,-0.1273,0.1327,0.184
