time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004351,0.3798,-0.2483,0.2964,0.542
0.015358,-0.0485,-0.2158,0.0401,0.225
0.027112,-0.3203,-0.0340,0.1383,0.351
0.047610,-0.6302,0.0762,1.0340,1.213
0.073960,0.2181,-0.0235,0.5046,0.550
0.088642,0.5215,-0.3365,-0.0663,0.624
0.108921,0.3315,-0.7448,0.5278,0.971
0.129319,0.1127,-0.4605,-0.1739,0.505
0.149580,-0.0222,-0.1193,-0.3388,0.360
0.173434,-0.2076,0.0198,-0.3476,0.405
0.192609,-0.5678,0.0526,-0.3581,0.673
0.210603,0.0986,0.0678,0.7042,0.714
0.230938,0.2942,0.1387,0.6376,0.716
0.251372,0.3071,-0.5121,0.7170,0.933
0.273384,-0.5119,-1.6761,0.3310,1.784
0.292057,-0.4875,-1.5579,-0.1256,1.637
0.312342,-1.1862,-0.7051,-0.9943,1.701
0.332994,-0.5680,-0.1264,-1.1742,1.311
0.353033,0.1790,-0.0161,-0.1253,0.219
0.374383,0.1820,-0.2640,-0.7782,0.842
0.394439,1.3796,-0.6823,-1.7763,2.350
0.414401,-0.4894,0.1950,-2.1985,2.261
0.434717,-3.3339,1.8109,-4.2078,5.666
0.455834,-1.0425,0.6386,-3.5857,3.788
0.479299,1.7312,-1.1191,2.1409,2.972
0.495517,3.1807,-1.6940,4.2278,5.555
0.515886,0.6475,0.1971,0.9178,1.140
0.536800,2.3364,0.7845,2.0613,3.213
0.557243,0.2145,-0.1908,6.0343,6.041
0.583146,0.1108,-1.0538,1.4094,1.763
0.604498,0.1752,-1.1463,-0.6359,1.323
0.618115,-0.7731,-0.6025,-1.1945,1.545
0.640932,-1.6734,-0.7320,-2.9205,3.445
0.660513,-0.5376,-1.9541,-0.7835,2.173
0.681933,1.1117,-1.4211,-0.2390,1.820
0.701205,2.3105,0.7461,1.6635,2.943
0.721517,1.4907,0.8551,1.0607,2.019
0.741743,-0.4122,1.4981,-0.3347,1.589
0.762882,-0.0682,1.9704,1.3837,2.409
0.783511,0.1214,1.6622,0.3836,1.710
0.803778,0.3020,1.1902,-2.3001,2.607
0.824477,0.5901,-0.1111,0.3480,0.694
0.845604,0.1351,-1.2475,2.8490,3.113
0.882316,0.1838,-0.6843,0.4195,0.823
0.904675,0.2042,-0.1331,-2.2928,2.306
0.916577,-0.3060,0.5843,-1.6586,1.785
0.927137,-1.4512,1.1144,0.0917,1.832
0.947378,-1.9131,0.9692,0.0028,2.145
0.980581,-0.4658,1.0427,0.1743,1.155
1.002862,0.7080,0.9421,-0.2877,1.213
1.010396,0.5572,0.8061,-0.2458,1.010
1.029255,-0.5297,0.6213,0.1941,0.839
1.049433,-0.5303,0.1663,1.4063,1.512
1.080032,-0.6423,0.1671,0.1788,0.687
1.096546,0.8023,1.9628,0.0914,2.122
1.110729,1.8543,1.6793,-0.2252,2.512
1.130911,8.3174,0.6324,-1.5067,8.476
1.152429,0.4771,3.2528,1.4095,3.577
1.180895,-4.1970,1.6026,2.1619,4.986
1.194383,-3.1547,-2.0550,-1.0494,3.909
1.212264,-2.0838,-5.2025,-2.5633,6.163
1.232643,-2.8074,-2.6150,-1.1214,3.997
1.253496,3.1417,-2.6939,0.1445,4.141
1.279923,0.4369,0.5537,0.7122,1.002
1.298760,-1.4735,1.1794,-0.2790,1.908
1.315446,-2.0505,-0.2182,-0.7623,2.198
1.336693,-3.1027,-0.4475,-1.1998,3.357
1.358251,-1.6264,0.7100,-1.4739,2.307
1.381303,-1.6833,0.6420,-0.7476,1.950
1.397952,-0.8084,0.3354,-0.5708,1.045
1.418332,0.3907,-0.7222,-0.1208,0.830
1.439766,3.3265,0.4190,1.0018,3.499
1.460625,3.4294,-0.0023,2.9031,4.493
1.481535,0.6092,-0.6674,2.0051,2.199
1.501601,-0.1554,-1.5551,1.0973,1.910
1.522650,-4.1021,-3.5905,0.7173,5.498
1.544047,-4.5151,-3.4612,-0.1690,5.692
1.564577,-2.3001,-2.0863,-1.0816,3.288
1.592585,4.0330,-0.0734,-0.5927,4.077
1.607164,9.0184,0.4455,-0.2397,9.033
1.626367,4.8241,-1.6890,0.5652,5.142
1.646993,5.3595,-0.6669,2.6480,6.015
1.667899,4.2581,2.5371,2.1510,5.403
1.691629,-3.2204,1.5377,0.6671,3.630
1.713433,-1.4538,0.1670,0.2530,1.485
1.728259,-1.6219,0.0257,-0.4971,1.697
1.750004,4.9603,-0.8635,1.9655,5.405
1.780692,12.7111,-2.6105,0.9226,13.009
1.805721,-0.6995,-0.8662,1.6822,2.017
1.823328,-1.0387,0.2115,1.3073,1.683
1.839437,-3.3971,0.2414,-0.8452,3.509
1.853437,-3.8940,0.1104,-0.6084,3.943
1.876117,-5.6895,-2.1040,-3.3867,6.947
1.894628,-4.0962,-0.7497,-5.8993,7.221
1.915186,-1.8340,1.7273,-1.5743,2.971
1.935484,-1.8970,0.8527,-2.2705,3.079
1.956037,-1.5792,0.2627,-2.3974,2.883
1.977729,-2.0962,0.0301,-2.6194,3.355
1.996745,-1.8859,-0.0657,0.4446,1.939
2.017372,0.7703,0.9514,2.5117,2.794
2.037800,1.2464,0.1496,1.8979,2.275
2.058217,2.1394,-0.5777,1.3753,2.608
2.080035,1.8899,-1.7485,1.1573,2.823
2.100507,1.0299,-1.1204,0.7714,1.706
2.120786,1.5579,-0.5699,0.6049,1.766
2.141905,0.0210,0.4943,1.1175,1.222
2.162470,-1.6796,0.5728,3.1550,3.620
2.189129,0.2093,-0.3311,0.0658,0.397
2.207763,0.1828,-0.1159,-0.0379,0.220
2.223532,0.9893,0.1594,-2.2340,2.448
2.244176,3.6441,-1.1477,-0.1798,3.825
2.265195,0.5253,-0.4776,0.1570,0.727
2.289712,0.2846,-0.3513,-0.9654,1.066
2.305689,-3.5639,1.1271,-1.2341,3.936
2.326759,0.7356,-0.3252,0.6195,1.015
2.347741,0.3019,-0.3078,0.2548,0.501
2.368294,-0.1723,0.0916,0.0203,0.196
2.388927,-0.3488,0.2611,0.1609,0.464
2.408569,-0.6702,0.5380,0.5418,1.016
2.429822,-0.8088,0.7892,0.1860,1.145
2.451064,-0.7143,1.2882,0.0914,1.476
2.471099,-0.3349,0.3003,0.2500,0.515
2.496514,0.2159,-0.2646,-0.2402,0.418
2.512647,0.6149,-0.6615,-0.0534,0.905
2.532419,0.7210,-0.9132,0.0445,1.164
2.553700,0.7886,-1.0226,0.1511,1.300
2.586252,1.0668,-0.9383,0.8776,1.670
2.605172,0.6940,-0.5274,0.9431,1.284
2.615625,0.3043,-0.3307,0.7877,0.907
2.634266,0.2263,-0.3308,0.4846,0.629
2.655038,0.1452,-0.1927,0.0199,0.242
2.686172,0.1328,-0.1389,-0.0496,0.198
2.707778,0.1435,-0.1074,-0.0797,0.196
2.719554,0.0927,-0.0470,0.1274,0.164
2.739286,0.1003,-0.0108,0.3102,0.326
2.759149,0.0664,-0.0795,0.3597,0.374
2.784077,-0.0232,0.0276,0.1589,0.163
