time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.005071,-0.1828,-0.3875,0.0338,0.430
0.016525,0.1018,-0.2947,-0.3017,0.434
0.034119,-0.0413,-0.1159,0.3311,0.353
0.055009,-0.1606,-0.0094,0.1932,0.251
0.074831,-0.0768,-0.2204,-0.2660,0.354
0.095231,-0.0449,-0.2366,-0.2088,0.319
0.116245,0.1839,-0.1638,-0.0536,0.252
0.137884,0.1363,-0.1520,-0.0332,0.207
0.157527,0.0771,-0.1050,0.1313,0.185
0.177969,0.0738,-0.1882,0.0329,0.205
0.198452,0.1517,-0.1517,0.0373,0.218
0.219119,-0.0142,-0.2008,0.0758,0.215
0.239373,-0.0501,-0.2182,-0.1017,0.246
0.265989,-0.1556,-0.1071,-0.1212,0.224
0.280627,-0.1838,0.0223,0.4773,0.512
0.300775,-0.0274,-0.0833,-0.0934,0.128
0.321194,-0.0027,-0.3793,0.0112,0.379
0.354092,0.1612,-0.1996,0.1523,0.298
0.362585,0.1160,-0.1732,0.2246,0.306
0.385362,0.0902,-0.3449,0.1703,0.395
0.405073,0.0984,-0.6033,-0.0285,0.612
0.425587,-0.0279,-0.5831,-0.1171,0.595
0.449823,1.6786,-2.2032,0.9934,2.943
0.465821,0.7777,-1.4701,-0.8213,1.855
0.486732,0.1407,-0.9693,-0.7230,1.217
0.507071,0.5040,-1.5028,-0.2883,1.611
0.527640,1.4070,-2.2086,-1.4290,2.983
0.550695,-0.5779,-1.1694,-1.6566,2.109
0.567957,-1.4521,-0.0622,1.0558,1.796
0.588877,0.3928,-0.1129,3.3262,3.351
0.609077,2.3084,-2.1379,2.9600,4.320
0.630192,2.6664,-2.8585,0.7289,3.976
0.652254,0.1712,-5.7243,-1.0206,5.817
0.670858,-2.0257,-5.7317,-0.7887,6.130
0.691860,-2.6377,-5.8415,-0.9174,6.475
0.712412,-4.8341,-2.7802,-0.3612,5.588
0.733648,-5.0338,0.9366,-1.3591,5.297
0.762223,-5.0237,10.5291,-1.5708,11.771
0.790153,-4.6890,11.9881,-0.1596,12.874
0.802706,-1.5897,5.5596,-0.5057,5.804
0.817529,-0.6088,-0.5289,-0.8569,1.177
0.836072,-0.8351,-2.2808,-1.0357,2.640
0.859855,-0.4810,-1.8510,-0.3495,1.944
0.876485,0.4699,-0.4123,0.3983,0.741
0.896930,-0.1029,0.3115,0.6130,0.695
0.918004,-0.3138,-0.2479,-0.0018,0.400
