time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004441,-0.4214,0.4182,-1.0477,1.204
0.016452,-0.3869,0.0638,0.5039,0.639
0.016885,-0.3869,0.0638,0.5039,0.639
0.048446,-0.1024,-0.2397,-0.1403,0.296
0.048927,-0.1024,-0.2397,-0.1403,0.296
0.050488,-0.1024,-0.2397,-0.1403,0.296
0.067884,-0.0177,-0.3301,-0.0079,0.331
0.072606,-0.2277,-0.3038,-0.1874,0.423
0.073115,-0.2277,-0.3038,-0.1874,0.423
0.090353,0.2323,-0.3040,-0.1886,0.427
0.093474,0.2323,-0.3040,-0.1886,0.427
0.110751,0.3541,-0.0797,0.1615,0.397
0.115508,0.3435,0.1639,0.2297,0.445
0.143479,0.3855,0.3264,0.3486,0.614
0.143955,-0.0653,0.3292,0.3632,0.494
0.151801,-0.0653,0.3292,0.3632,0.494
0.165128,-0.6057,0.2261,0.0903,0.653
0.171845,-0.4794,0.1165,-0.0216,0.494
0.182062,-0.3771,-0.0139,0.1097,0.393
0.193339,-0.7239,0.0422,-0.0233,0.725
0.204314,-0.2836,0.0192,-0.0664,0.292
0.215794,0.0320,-0.0378,-0.0371,0.062
0.216180,0.0320,-0.0378,-0.0371,0.062
0.243239,0.7357,-0.0503,0.3320,0.809
0.243616,0.7357,-0.0503,0.3320,0.809
0.258878,0.5956,0.0207,0.1290,0.610
0.259605,0.5956,0.0207,0.1290,0.610
0.277756,-0.1496,0.1872,0.2550,0.350
0.278233,-0.1496,0.1872,0.2550,0.350
0.295035,-0.4694,0.1294,-0.2674,0.556
0.303822,-0.2932,0.2069,-0.2489,0.437
0.315296,-0.1707,0.1532,-0.0463,0.234
0.325876,-0.1003,0.1449,-0.0298,0.179
0.337230,0.6484,-0.2109,0.6734,0.958
0.337572,0.6484,-0.2109,0.6734,0.958
0.356120,0.5714,-0.0747,0.4543,0.734
0.359038,0.5714,-0.0747,0.4543,0.734
0.376467,0.6863,0.0754,0.7070,0.988
0.381226,0.1864,0.0283,0.8414,0.862
0.396786,-0.3932,-0.0565,0.4336,0.588
0.403172,-0.0681,-0.2727,0.2159,0.354
0.417187,-0.6378,-0.0984,-0.2553,0.694
0.425753,-1.0120,-0.2025,-1.3134,1.670
0.450621,0.4750,-0.4671,-0.1396,0.681
0.451042,0.4750,-0.4671,-0.1396,0.681
0.466812,1.1041,-0.9916,0.7788,1.676
0.467148,1.1041,-0.9916,0.7788,1.676
0.478490,0.5873,-1.2332,0.9710,1.676
0.479638,0.5873,-1.2332,0.9710,1.676
0.498821,0.5678,-1.9712,0.4494,2.100
0.499074,0.5678,-1.9712,0.4494,2.100
0.520740,-0.0922,-1.6217,-0.5019,1.700
0.521142,-0.0922,-1.6217,-0.5019,1.700
0.544492,1.1203,-1.5077,-0.9305,2.096
0.544920,1.1203,-1.5077,-0.9305,2.096
0.561258,1.1425,-1.7591,0.8241,2.254
0.561801,0.9910,-1.7411,1.0196,2.248
0.582035,1.1162,-1.7637,0.7189,2.208
0.582605,1.1162,-1.7637,0.7189,2.208
0.602285,0.7410,-1.9400,1.2165,2.407
0.614071,0.0445,-1.7154,1.6387,2.373
0.626012,0.0497,-0.9102,1.1762,1.488
0.626556,0.0497,-0.9102,1.1762,1.488
0.650681,-1.3730,-0.8387,0.7444,1.773
0.651403,-2.8752,-1.7020,1.0724,3.509
0.668525,-1.4602,-2.0427,1.8527,3.120
0.668942,-1.4602,-2.0427,1.8527,3.120
0.684072,-5.0460,-0.2076,-7.1629,8.764
0.684753,-5.0460,-0.2076,-7.1629,8.764
0.704617,-8.0091,2.8452,-6.8799,10.935
0.705447,-8.0091,2.8452,-6.8799,10.935
0.734172,2.8070,1.6626,-1.2393,3.490
0.734605,2.8070,1.6626,-1.2393,3.490
