time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003636,0.5538,-0.6864,-0.7077,1.131
0.016941,-0.1248,-0.3773,0.5073,0.644
0.035342,-0.9780,-0.1057,0.0990,0.989
0.056038,-0.1308,0.0836,-0.1880,0.244
0.077749,0.2857,-0.2951,0.5271,0.668
0.096622,0.5555,-0.7173,0.4010,0.992
0.117158,0.3425,-0.6211,0.6496,0.962
0.137630,-1.6603,0.6583,-0.6682,1.907
0.157992,0.0438,0.2913,0.2012,0.357
0.178439,-0.0243,-0.0648,-0.2627,0.272
0.198755,0.0696,-0.0416,0.6555,0.660
0.219246,0.1211,-0.3859,0.5973,0.721
0.239578,-0.2031,-0.0061,-0.3943,0.444
0.260258,0.1602,-0.4155,-0.4626,0.642
0.289664,0.7124,-0.7158,0.1873,1.027
0.301096,0.3837,-0.9481,0.4260,1.108
0.321351,0.9513,-1.4791,1.0947,2.072
0.342957,2.1193,-4.1333,2.2560,5.164
0.364534,3.1181,-4.5164,0.8225,5.550
0.385332,2.7245,-4.8306,-0.8832,5.616
0.405361,0.3452,-4.0033,-2.8927,4.951
0.425651,-1.4304,-2.9994,-0.8548,3.431
0.446482,-4.4427,-3.6961,1.0513,5.874
0.467284,-6.6332,-3.1014,1.2367,7.426
0.488338,-9.3709,7.5437,-5.9689,13.429
0.508756,-9.9306,13.7306,-5.1128,17.700
0.528611,0.9838,5.8134,1.3841,6.056
0.552522,1.7999,-0.7312,0.0193,1.943
0.570059,2.3907,-2.3966,-0.7763,3.473
0.598035,-0.8602,-1.8277,0.5856,2.103
0.611421,-1.3357,-0.6474,0.9202,1.746
0.631706,-0.8081,0.1738,-0.1972,0.850
0.652415,-0.4312,0.5637,-0.7074,1.002
0.673364,-0.4062,0.2175,0.1021,0.472
0.694865,-0.3690,0.1151,0.2243,0.447
0.714831,-0.1760,0.0408,0.1225,0.218
0.736062,-0.0325,-0.0771,-0.0749,0.112
0.756534,-0.1050,-0.2659,-0.3434,0.447
0.786543,-0.1733,-0.3504,-0.4425,0.590
0.801748,-0.2436,-0.2963,-0.4787,0.613
0.818536,-0.2688,-0.2797,-0.3575,0.528
0.838659,-0.2232,-0.3056,-0.2204,0.438
0.859071,-0.1682,-0.2883,-0.3672,0.496
0.886738,-0.2241,-0.1032,-0.7564,0.796
0.900015,-0.2762,0.0458,-0.6518,0.709
0.920557,-0.2649,0.1637,-0.3819,0.493
0.943054,-0.1058,0.0775,-0.0353,0.136
0.963071,-0.1771,-0.2277,-0.0207,0.289
0.986944,-0.2785,-0.3584,-0.0812,0.461
1.006370,-0.2316,-0.2780,-0.0161,0.362
1.024388,-0.0935,-0.2310,0.1504,0.291
1.044880,0.1145,-0.3651,-0.0366,0.384
1.065713,0.2260,-0.4266,-0.3401,0.591
1.086098,0.3234,-0.3943,-0.3540,0.621
1.107466,0.2904,-0.3567,-0.0957,0.470
1.127781,0.1601,-0.1725,-0.0434,0.239
1.148313,0.0262,0.0771,-0.1153,0.141
1.169435,-0.0512,0.1007,-0.2225,0.249
1.196014,-0.3048,0.0130,-0.2415,0.389
1.215622,-0.3995,0.0037,-0.2180,0.455
1.230646,-0.4865,-0.0071,-0.2341,0.540
1.251629,-0.5696,0.0667,-0.2021,0.608
1.272811,-0.5071,0.0481,-0.1726,0.538
1.297309,-0.3645,-0.0588,-0.2456,0.443
1.317345,-0.2636,-0.1146,-0.4138,0.504
1.333416,-0.1783,-0.1018,-0.4642,0.508
1.354532,-0.0860,-0.1017,-0.3813,0.404
1.375377,-0.0350,-0.1142,-0.1753,0.212
1.395482,-0.0676,-0.0804,-0.2155,0.240
1.415744,-0.2149,0.0510,-0.4278,0.481
1.436719,-0.3956,-0.0674,-0.3239,0.516
1.457783,-0.4659,-0.2140,-0.1621,0.538
1.478319,-0.3683,-0.3129,-0.1750,0.514
1.499196,-0.2067,-0.3154,-0.1499,0.406
1.520113,0.0852,-0.2538,-0.0681,0.276
1.540620,0.2804,-0.2341,0.0732,0.373
1.561172,0.2941,-0.2825,0.1043,0.421
1.595236,0.2185,-0.3896,-0.0700,0.452
1.607101,0.1282,-0.3197,-0.0409,0.347
1.624273,0.0051,-0.2087,0.0868,0.226
1.645356,-0.0677,-0.0825,0.0851,0.137
1.665649,-0.1114,0.0653,0.0617,0.143
1.692925,-0.2607,-0.0845,0.1000,0.292
1.708361,-0.2995,-0.2024,0.0821,0.371
1.726265,-0.2193,-0.2346,0.0469,0.325
1.747596,-0.0112,-0.1388,0.0771,0.159
1.768444,0.1101,-0.1528,0.1378,0.233
1.793385,0.1771,-0.1680,0.1733,0.299
1.809826,0.1300,-0.2075,0.1698,0.298
1.830860,0.0977,-0.1827,0.0497,0.213
1.850741,0.0605,-0.0997,0.0097,0.117
1.872471,0.0783,-0.0846,0.1101,0.159
1.891669,0.0562,-0.0705,0.1845,0.205
1.911971,-0.0362,-0.1586,0.2312,0.283
1.932813,-0.0532,-0.2951,0.2238,0.374
1.953248,0.0016,-0.3299,0.2066,0.389
1.973764,0.0845,-0.2768,0.1747,0.338
1.994324,0.0968,-0.2413,0.1226,0.287
2.014430,0.1125,-0.1033,0.1034,0.184
2.035336,0.1178,-0.0599,0.1675,0.213
2.055857,0.1372,-0.1030,0.2071,0.269
2.077289,0.0575,-0.1560,0.1203,0.205
2.104785,-0.0247,-0.1700,0.0080,0.172
2.122062,-0.0363,-0.1769,0.0448,0.186
2.138973,0.0040,-0.2345,0.0857,0.250
2.159529,0.0613,-0.2516,0.0879,0.273
2.181361,0.0607,-0.2468,0.0672,0.263
2.204200,0.0724,-0.2509,0.0318,0.263
2.221223,0.0746,-0.2096,0.0218,0.224
2.242228,0.0766,-0.1770,0.1169,0.225
2.263117,0.0526,-0.1581,0.2032,0.263
2.283707,0.0400,-0.1805,0.1825,0.260
2.304218,0.0045,-0.2025,0.1208,0.236
2.325191,-0.0081,-0.1610,0.0826,0.181
2.345691,0.0226,-0.1340,0.0680,0.152
2.367616,0.0230,-0.1670,0.0871,0.190
2.392723,-0.0096,-0.2169,0.0288,0.219
2.410424,-0.0294,-0.2168,0.0236,0.220
2.428702,-0.0372,-0.2598,0.0161,0.263
2.449174,-0.0312,-0.2236,0.0143,0.226
2.470433,-0.0101,-0.1204,0.0135,0.122
2.494194,-0.0575,-0.1254,0.0027,0.138
2.511289,-0.0518,-0.1280,0.0131,0.139
2.531547,-0.0256,-0.1902,0.0109,0.192
2.552794,-0.0033,-0.2088,-0.0605,0.217
2.573079,-0.0214,-0.1893,-0.0518,0.197
2.603446,-0.0667,-0.1025,-0.0803,0.146
2.614786,-0.0980,-0.0905,-0.0831,0.157
2.634936,-0.0914,-0.1526,-0.0363,0.182
2.655442,-0.0661,-0.2050,0.0024,0.215
2.676255,0.0043,-0.2213,0.0764,0.234
2.702565,0.0305,-0.1614,0.1004,0.193
2.718299,0.0740,-0.1569,0.1374,0.221
2.736985,0.0157,-0.2173,0.1001,0.240
2.757977,-0.0166,-0.2608,-0.0310,0.263
2.778744,0.0364,-0.2298,-0.0424,0.236
2.803190,0.0634,-0.1286,-0.0346,0.148
2.820000,0.0208,-0.0705,0.0237,0.077
2.839515,-0.0345,-0.0816,0.1014,0.135
2.860581,-0.1150,-0.1139,0.1192,0.201
2.881009,-0.1944,-0.1521,0.0671,0.256
2.903108,-0.1401,-0.1479,0.0247,0.205
2.923606,-0.0077,-0.2160,-0.0084,0.216
2.944137,0.0498,-0.2360,0.0024,0.241
2.964055,0.0256,-0.1761,0.0309,0.181
2.985057,-0.0972,-0.1488,0.0109,0.178
3.013983,-0.1509,-0.0855,0.0423,0.179
3.030990,-0.1793,-0.0832,0.0192,0.199
3.047507,-0.1622,-0.0889,-0.0422,0.190
3.067908,-0.1570,-0.2253,-0.0753,0.285
3.088371,-0.1187,-0.1812,-0.0949,0.237
3.110680,-0.0332,-0.1465,-0.0620,0.163
3.135722,-0.0822,-0.1685,0.0032,0.188
3.150316,-0.1106,-0.1686,-0.0166,0.202
3.171182,-0.0875,-0.1691,-0.0510,0.197
3.200623,-0.0508,-0.2371,-0.0332,0.245
3.219401,0.0114,-0.1971,-0.0253,0.199
3.235744,0.0286,-0.1780,0.0030,0.180
3.253826,0.0209,-0.1611,0.0149,0.163
3.273572,-0.0427,-0.1535,0.0500,0.167
3.301629,-0.1031,-0.1509,0.0303,0.185
3.319277,-0.0720,-0.1246,0.0051,0.144
3.336581,-0.0812,-0.0936,-0.0109,0.124
3.357105,-0.0491,-0.1299,-0.0068,0.139
3.378137,-0.0418,-0.1810,-0.0010,0.186
3.399218,-0.0572,-0.2054,0.0056,0.213
3.418614,-0.0607,-0.1891,0.0023,0.199
3.439612,-0.0728,-0.1699,0.0154,0.186
3.460537,-0.1142,-0.1578,-0.0295,0.197
3.481237,-0.1077,-0.1360,0.0212,0.175
3.507065,-0.0762,-0.1193,0.0866,0.166
3.522747,-0.0630,-0.1030,0.0655,0.137
3.543916,-0.0328,-0.1633,0.0467,0.173
3.564056,-0.0116,-0.2119,0.0117,0.213
3.585194,0.0132,-0.2122,0.0275,0.214
3.612167,-0.0065,-0.2121,0.0676,0.223
3.625439,-0.0096,-0.1976,0.0503,0.204
3.646377,-0.0569,-0.1755,-0.0053,0.185
3.666809,-0.0653,-0.1704,0.0010,0.182
3.687053,-0.0661,-0.1294,0.0222,0.147
3.710372,-0.0695,-0.1411,0.0250,0.159
3.727641,-0.0916,-0.1457,-0.0009,0.172
3.748365,-0.1209,-0.1431,0.0023,0.187
3.770169,-0.1045,-0.1790,0.0073,0.207
3.790281,-0.0837,-0.1884,-0.0302,0.208
3.810610,-0.0703,-0.1450,-0.0707,0.176
3.831777,-0.0987,-0.1540,-0.0186,0.184
3.851754,-0.1047,-0.1871,-0.0486,0.220
3.872090,-0.0958,-0.1845,-0.0607,0.217
3.893376,-0.0891,-0.1340,-0.0228,0.163
3.921077,-0.0478,-0.1414,0.0174,0.150
3.938503,-0.0784,-0.1487,-0.0380,0.172
3.954459,-0.0476,-0.1391,-0.0567,0.158
3.975214,0.0449,-0.1045,-0.0897,0.145
4.008967,0.0615,-0.1526,-0.0886,0.187
4.026912,-0.0025,-0.1873,-0.0425,0.192
4.038659,-0.0649,-0.2075,-0.0141,0.218
4.058005,-0.1452,-0.2153,-0.0231,0.261
4.078564,-0.2087,-0.1649,-0.1295,0.296
4.108002,-0.2054,-0.1118,-0.0488,0.239
4.122625,-0.1727,-0.1028,-0.0430,0.206
4.139868,-0.1158,-0.1767,0.0185,0.212
4.160255,-0.0423,-0.2449,0.0070,0.249
4.180670,-0.0073,-0.2893,0.0333,0.291
4.209113,0.0844,-0.2544,0.1083,0.289
4.226877,0.1295,-0.1951,0.1339,0.270
4.243127,0.1499,-0.1692,0.1387,0.265
4.263346,0.1297,-0.2215,0.1389,0.292
4.285212,0.1546,-0.2324,0.1524,0.318
4.309665,0.1659,-0.1825,0.2206,0.331
4.329189,0.1223,-0.1795,0.1853,0.285
4.346984,0.0314,-0.1407,0.1714,0.224
4.367828,-0.0345,-0.1423,0.0954,0.175
4.388496,-0.1008,-0.1291,0.0553,0.173
4.417249,-0.1369,-0.0924,0.0378,0.169
4.431537,-0.1442,-0.1091,0.0603,0.191
4.451522,-0.1503,-0.1694,0.0351,0.229
4.473079,-0.1646,-0.1989,-0.0264,0.260
4.494880,-0.1414,-0.1283,-0.0513,0.198
4.519223,-0.0926,-0.1109,-0.0309,0.148
4.535416,-0.0961,-0.1264,-0.0519,0.167
4.555693,-0.0761,-0.1154,-0.0471,0.146
4.577351,-0.0804,-0.1762,-0.0006,0.194
4.598012,-0.0581,-0.1692,0.0170,0.180
4.619369,-0.0818,-0.1669,0.0160,0.187
4.638931,-0.0972,-0.1649,-0.0097,0.192
4.659506,-0.0911,-0.1941,-0.0369,0.218
4.680184,-0.0750,-0.1539,-0.0303,0.174
4.707806,-0.0647,-0.1326,0.0772,0.166
4.721076,-0.0620,-0.1087,0.1158,0.170
4.742860,-0.0587,-0.1353,0.0201,0.149
4.764133,-0.0650,-0.1260,-0.0031,0.142
4.785016,-0.0473,-0.1167,-0.0176,0.127
4.818651,-0.0462,-0.1451,-0.0288,0.155
4.836990,-0.1174,-0.1494,-0.0452,0.195
4.845318,-0.1446,-0.1491,-0.0487,0.213
4.866876,-0.1529,-0.1225,-0.0461,0.201
4.887071,-0.1614,-0.1307,-0.0840,0.224
4.916593,-0.1399,-0.1808,-0.0821,0.243
4.936098,-0.0718,-0.1945,-0.0507,0.213
4.950247,-0.0611,-0.2164,-0.0511,0.231
4.969961,-0.0732,-0.2123,-0.0504,0.230
4.991205,-0.0491,-0.2099,-0.0146,0.216
5.017104,-0.0971,-0.1429,-0.0376,0.177
5.034713,-0.0758,-0.1428,-0.0211,0.163
5.056047,-0.0956,-0.1617,-0.0218,0.189
