time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002162,0.0104,-0.0647,-0.0775,0.101
0.012991,-0.1353,-0.0504,0.0103,0.145
0.026712,-0.3314,-0.0752,0.5968,0.687
0.061024,0.0152,0.0572,0.2421,0.249
0.068372,0.0669,0.0087,0.1386,0.154
0.088319,-0.0288,-0.1446,-0.3475,0.377
0.108740,-0.0513,-0.1485,-0.4466,0.473
0.128845,-0.0219,-0.1555,0.0437,0.163
0.158595,0.1270,-0.0331,-0.0274,0.134
0.172630,0.0213,-0.0601,-0.0292,0.070
0.189794,-0.0013,-0.1081,-0.1434,0.180
0.210420,-0.1203,-0.1360,0.0730,0.196
0.230737,-0.2553,-0.1885,0.1205,0.339
0.258315,-0.0227,0.0675,0.2450,0.255
0.271978,0.0179,0.0466,0.0669,0.083
0.292655,0.1105,-0.0503,-0.4794,0.495
0.313159,0.0135,-0.1007,-0.2952,0.312
0.333645,-0.3715,-0.0206,0.2147,0.430
0.358884,-0.2611,-0.1537,-0.1501,0.338
0.374933,-0.2093,-0.2949,-0.1472,0.390
0.395370,-0.1113,-0.4700,-0.0114,0.483
0.415966,-0.0949,-0.5333,0.3255,0.632
0.436323,-0.0209,-0.8288,0.4451,0.941
0.458149,-0.5180,-1.0354,-0.3722,1.216
0.477241,0.0062,-0.7242,-0.5880,0.933
0.497911,-0.0119,-0.4949,0.0497,0.497
0.518439,-0.0482,-0.4290,0.5818,0.724
0.538962,-0.1413,-0.4164,0.4658,0.641
0.569119,-0.2183,-0.4110,0.3213,0.566
0.582567,0.3141,0.1428,0.5925,0.686
0.600694,-0.0681,0.6008,1.1500,1.299
0.621261,0.1654,0.8544,-0.0193,0.870
0.641653,-0.3855,0.8555,-0.3660,1.007
0.667564,-0.7097,0.2477,0.4962,0.901
0.689036,-1.0465,-0.1628,0.6875,1.263
0.703128,-1.2438,0.0607,0.1373,1.253
0.723499,-0.6035,-0.3483,-0.2445,0.738
0.744820,-0.2653,-0.6858,-0.0703,0.739
0.768389,-0.1591,-1.0622,-0.0549,1.076
0.785431,0.2137,-0.6699,-0.3630,0.791
0.805799,1.0003,-0.1378,-0.1375,1.019
0.826315,1.3273,-0.7408,0.3691,1.564
0.854507,0.6528,-1.2524,0.5972,1.533
0.875411,0.1170,-1.1695,0.3209,1.218
0.888278,1.4061,-1.2183,-0.3828,1.899
0.909297,3.1387,0.9392,-2.4427,4.087
0.930316,3.0686,1.3950,-0.8611,3.479
0.954128,2.7223,-0.2355,0.6127,2.800
0.977652,-1.2083,-0.4206,1.4235,1.914
0.990987,-0.4439,-0.0233,0.8678,0.975
1.012743,-0.4783,-0.4837,0.6405,0.934
1.033835,0.1277,-0.8061,0.0079,0.816
1.054957,0.4700,-0.9318,-0.2926,1.084
1.074815,0.6592,-0.3622,0.0234,0.753
1.094450,-0.2693,-0.8666,-0.6942,1.143
1.115169,-0.7926,-0.4578,0.2451,0.948
1.135579,0.3723,-0.2632,0.2078,0.501
1.165585,0.4458,-1.1440,0.0676,1.230
1.185641,0.8108,-1.4051,0.0636,1.624
1.198437,1.6541,-2.6102,-0.1247,3.093
1.218882,0.1461,-4.9529,0.1922,4.959
1.239630,-5.6500,-6.2308,1.3696,8.522
1.265714,-1.7590,-1.2417,1.4685,2.606
1.285058,3.8126,2.6079,0.4725,4.643
1.302968,10.2072,4.5237,0.4783,11.175
1.330210,3.4312,4.1102,0.5907,5.387
1.352636,-0.6815,1.4556,0.7506,1.774
