time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001713,0.0298,-0.0806,-0.4911,0.499
0.025238,0.0444,-0.2165,-0.0461,0.226
0.035085,0.1480,0.0566,1.2518,1.262
0.062238,0.1956,-0.4195,-0.2293,0.517
0.075651,0.3515,-0.4992,-0.0862,0.617
0.109645,0.3055,-0.3616,0.0013,0.473
0.116335,-0.2576,-0.1877,-0.0203,0.319
0.140212,0.0765,-0.1516,0.3763,0.413
0.156897,0.5104,-0.2146,0.8979,1.055
0.177600,0.9506,-0.4782,0.6594,1.252
0.209505,0.9835,-0.7881,-0.1279,1.267
0.226981,-0.9193,0.4891,0.2907,1.081
0.241323,-0.0797,-0.3840,0.0546,0.396
0.259402,-0.0503,-0.5690,-0.1702,0.596
0.279716,0.4796,-1.3729,0.1369,1.461
0.309335,0.3802,-0.7763,1.4273,1.669
0.320418,0.0149,-0.7672,1.7407,1.902
0.340773,-0.2669,-0.9332,1.1250,1.486
0.361156,0.5809,-1.8073,0.9847,2.139
0.381760,0.6969,-2.5433,1.0942,2.855
0.405416,-0.3069,-1.3369,-0.9871,1.690
0.425130,0.0568,-0.3068,0.3707,0.485
0.442830,2.7284,-2.2091,2.1922,4.139
0.463208,4.8652,-4.4449,0.4463,6.605
0.484247,7.9032,-4.8114,-3.6739,9.955
0.505448,3.4992,-1.9866,-5.2558,6.619
0.525417,-10.4239,1.6357,-5.3262,11.820
0.562350,-9.1390,5.3104,-1.2968,10.649
0.571870,-8.5736,6.2005,-0.6622,10.601
0.585385,-5.4936,4.8614,1.0121,7.405
0.617370,4.5375,-5.1117,-0.3525,6.844
0.625781,2.4784,-2.7443,-1.7876,4.107
0.646068,-4.7439,5.3684,-2.1522,7.480
0.666314,-4.0452,6.7127,0.7368,7.872
0.686741,-0.9049,1.7382,1.1615,2.278
0.707712,-0.1905,0.7714,2.4494,2.575
0.727691,0.6417,-2.5362,-0.2188,2.625
0.748470,0.7040,-2.4640,-1.4375,2.938
0.768453,-0.1488,-1.4607,-1.2539,1.931
0.788732,-1.1045,-0.2129,1.1881,1.636
0.808942,-1.5031,-0.0468,1.6683,2.246
0.829895,-0.7478,0.0752,0.4876,0.896
0.850229,-0.5689,0.6618,-1.0383,1.356
0.870578,-0.7073,1.6304,-0.5845,1.871
0.890989,-0.2315,1.0852,0.6220,1.272
0.916565,1.0278,-0.9681,-1.8114,2.297
0.941716,1.3668,-1.2079,-1.0659,2.113
0.957859,2.4491,-0.8982,0.6598,2.691
0.973512,2.7718,-0.7028,0.0321,2.860
0.993880,1.2643,0.1160,-1.0414,1.642
1.017877,0.7298,0.1592,-0.1652,0.765
1.044244,0.0381,0.6185,0.1953,0.650
1.057803,-0.0912,0.5269,-0.0426,0.536
1.077587,-0.3106,-0.2187,-0.3496,0.516
1.097359,-0.3104,-0.6134,-0.4373,0.815
1.118889,0.0804,-1.0101,0.3591,1.075
1.138088,0.5098,-1.0465,0.9143,1.480
1.159480,0.6445,-0.7432,0.8861,1.324
1.180600,0.8383,-0.7021,0.0772,1.096
1.204808,1.2059,-1.0313,-0.2433,1.605
1.228256,0.8629,-1.8703,1.2188,2.393
