time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.012944,-0.1907,-0.1947,-0.1953,0.335
0.026589,0.0502,-0.1118,-0.3574,0.378
0.052140,0.0053,0.0967,0.5922,0.600
0.072680,0.0150,0.0517,0.1189,0.131
0.088851,0.1416,-0.1556,-0.1106,0.238
0.109909,-0.0661,-0.1319,0.0240,0.149
0.132801,0.0614,-0.2030,0.0624,0.221
0.145974,0.0270,-0.1786,-0.0814,0.198
0.166284,-0.0446,-0.1750,-0.0475,0.187
0.186838,-0.0741,-0.0798,-0.0037,0.109
0.209451,0.0167,-0.1245,-0.1483,0.194
0.234615,0.0319,-0.0500,-0.1141,0.129
0.247624,-0.0825,-0.0517,0.0967,0.137
0.268374,0.0544,-0.0600,-0.1559,0.176
0.288370,-0.0570,-0.1409,-0.1144,0.190
0.308984,-0.2723,-0.1584,-0.0988,0.330
0.328946,0.0826,-0.1565,-0.1224,0.215
0.349530,-0.0615,-0.0321,0.1121,0.132
0.370019,-0.1427,-0.0782,0.4239,0.454
0.394566,0.1226,-0.2211,0.0155,0.253
0.413755,-0.0486,-0.2895,0.2381,0.378
0.431708,0.0560,-0.1266,0.3972,0.421
0.451995,0.2633,-0.0078,0.0680,0.272
0.472320,-0.5093,-0.2177,0.0339,0.555
0.493162,0.2900,-0.1092,0.3151,0.442
0.512963,0.1481,-0.3647,-0.2209,0.451
0.533386,-0.1330,-0.1658,-0.3540,0.413
0.553729,0.2818,0.0113,-0.1883,0.339
0.574059,-0.0252,0.3373,0.2890,0.445
0.606471,-0.5986,-0.3457,-0.9668,1.188
0.631075,-0.4626,-0.3644,-0.5460,0.803
0.639323,-0.2301,-0.5460,-0.3193,0.673
0.656671,0.4598,-0.7386,-0.0553,0.872
0.677118,0.9703,-0.1520,0.5183,1.110
0.706100,0.5427,-0.4268,0.4516,0.825
0.730051,-0.2853,-0.9957,-0.5060,1.153
0.744904,-0.7098,-1.2823,-0.3371,1.504
0.758337,-0.4830,-1.4828,-0.1352,1.565
0.779673,-0.6877,-2.2209,-0.0254,2.325
0.807310,-0.3714,-0.9982,0.9943,1.457
0.833602,-0.1158,0.4900,-0.6143,0.794
0.847416,0.5432,-0.2177,-0.6104,0.846
0.863456,0.0108,0.0286,-0.7003,0.701
0.883614,-0.3485,0.6594,-0.7921,1.088
0.907179,0.8079,0.7039,-0.8242,1.352
0.932219,1.0751,0.4900,-0.2812,1.214
0.945907,0.0342,1.2222,-0.1574,1.233
0.966120,0.2352,1.4117,0.8153,1.647
0.987299,1.9618,1.0018,0.3229,2.226
1.007809,6.1546,-2.0768,-0.9746,6.568
1.028874,7.5359,-2.4052,-1.1581,7.995
1.048774,4.2157,0.4456,3.3084,5.377
1.068861,-8.6084,2.5440,0.4917,8.990
1.090033,-5.1178,1.2116,-0.5581,5.289
1.117839,2.2998,-3.7624,-4.6878,6.436
1.142093,-2.6843,-2.6120,-4.9171,6.181
1.151091,-5.0307,-1.3126,-2.0970,5.606
1.171359,-2.2224,0.1145,4.2527,4.800
1.192382,-1.5835,-0.3346,3.3921,3.758
1.217131,-3.2214,-1.4600,0.7929,3.625
1.242655,-2.4897,-1.0123,-0.7474,2.790
1.256660,-2.1576,-0.7562,-1.0752,2.527
1.275226,-0.8002,0.1705,-1.2178,1.467
1.295766,0.9619,0.2705,-0.9288,1.364
1.316149,0.2703,0.1466,-0.0967,0.322
1.337145,0.8009,-0.0630,0.6438,1.030
1.357185,3.1139,-0.0220,0.8770,3.235
1.377605,4.8038,-0.4023,1.0128,4.926
1.403998,4.6452,-1.5462,0.8079,4.962
1.427315,1.7227,-1.1437,0.5677,2.144
1.438767,0.7476,-0.7370,0.7990,1.319
1.458871,0.4212,-0.7696,-0.6369,1.084
1.479730,1.0653,-0.7287,0.9899,1.627
1.504126,1.1802,-1.2344,1.0512,2.005
1.531710,1.1558,-0.4044,1.0569,1.618
1.543980,0.5712,0.0603,0.9704,1.128
1.561507,0.9214,-0.1310,1.0546,1.407
1.582141,-0.8922,-0.5029,0.0931,1.028
1.604056,-1.8956,-1.4215,-0.8995,2.534
1.630130,-2.0160,-2.5096,-1.3838,3.504
1.644287,-2.0516,-3.3849,-1.7601,4.332
1.663832,-2.2149,-3.9624,-1.9481,4.940
1.683907,-1.9970,-4.4552,-1.9455,5.256
1.712158,0.4015,-4.6457,-1.7234,4.971
1.729269,-0.7110,-3.8334,-0.4834,3.929
1.744708,-0.6136,-2.9347,-0.8167,3.107
1.765005,0.5972,-1.1656,-2.6090,2.919
1.785523,2.3363,-0.1021,-2.8623,3.696
1.811365,5.6560,2.1741,2.6684,6.621
1.828832,4.1120,2.8397,2.0336,5.395
1.847679,1.3873,3.9427,0.6482,4.230
1.867896,-0.1751,4.4183,-2.0978,4.894
1.888360,-0.6830,4.5183,2.0087,4.992
1.910322,2.1305,5.0290,7.3026,9.119
1.929016,2.5198,4.3930,5.8956,7.772
1.949092,-0.1149,3.0613,0.4160,3.092
1.969817,-1.9695,2.8817,-2.1663,4.108
1.989881,-1.8478,2.5881,-3.4284,4.676
2.010093,-0.8831,2.5411,-3.0353,4.056
2.036332,0.1860,0.4379,-1.1872,1.279
2.051715,-0.1860,-0.2484,-0.6727,0.741
2.072800,-0.7256,-1.2994,-0.6374,1.619
2.092880,-1.1841,-0.7803,1.7136,2.224
2.113182,-1.8005,-0.2338,4.1069,4.490
2.134233,-2.2701,0.1282,2.6554,3.496
2.154769,-2.1028,-0.1404,0.1973,2.117
2.174786,-2.1553,-0.9400,-2.0613,3.127
2.194883,-2.5353,-1.4123,-2.6765,3.948
2.216545,-2.9823,-2.3516,-3.9798,5.501
2.235423,-2.4145,-3.2234,-4.3482,5.927
2.255652,-1.6133,-3.3058,-3.4419,5.038
2.275981,-0.4558,-3.4293,-3.1039,4.648
2.296203,0.2804,-3.8940,-2.4195,4.593
2.322438,-0.1524,-2.7028,8.2459,8.679
2.342424,-0.8899,-1.3990,4.0326,4.360
2.357680,0.8737,0.6284,1.0420,1.498
2.378403,1.7410,2.6604,0.7821,3.274
2.398684,2.6727,0.7584,2.8032,3.947
2.424417,0.4844,-1.6484,0.8661,1.924
2.445593,0.7306,-2.0652,0.8624,2.354
2.465531,-0.4539,-1.7222,1.0508,2.068
2.479557,-0.9893,-0.2996,1.6176,1.920
2.499859,0.1525,2.4315,1.6768,2.958
2.520989,2.7929,3.6873,2.6039,5.308
2.543759,1.7304,3.5153,0.0921,3.919
2.560306,-1.6451,1.4330,-1.4199,2.603
2.580589,-0.0832,-0.0607,0.4629,0.474
2.600996,8.5677,3.1165,-0.6935,9.143
2.621117,1.7855,2.4479,0.9981,3.190
2.641448,-0.5180,0.1491,1.2103,1.325
2.662761,0.6766,0.0428,-0.1840,0.702
2.683427,0.4573,1.2092,-1.6587,2.103
2.708392,-0.8050,2.0376,-3.3372,3.992
2.737280,-1.5943,1.9678,-3.4488,4.279
2.746087,-1.4184,1.3068,-3.7615,4.227
2.766343,-1.6998,0.5061,-4.3643,4.711
2.786660,-1.9021,0.1442,-3.2014,3.727
2.806823,-1.3841,-0.0279,2.2735,2.662
2.826933,-1.4200,-0.2225,2.0569,2.509
2.847225,-0.2845,-1.1373,1.6225,2.002
2.867441,0.1520,-1.1955,0.8599,1.480
2.887580,0.1041,-1.0129,-0.1160,1.025
2.908026,0.2581,-1.2758,-0.2377,1.323
2.928251,0.9206,-1.7587,-0.2738,2.004
2.948540,0.8223,-1.9996,-0.1072,2.165
2.969939,1.0293,-2.6654,0.3000,2.873
2.989071,0.5345,-3.2883,0.8018,3.427
3.009247,-0.5546,-4.4499,0.9352,4.581
3.029494,-1.3056,-4.7250,-0.0654,4.902
3.049728,-2.1217,-3.9401,-1.4992,4.719
3.069970,-1.0668,-3.1045,-1.7686,3.729
3.090121,0.2035,-1.0892,-1.9658,2.257
3.110431,0.0426,-0.4984,-1.5829,1.660
3.132498,0.1412,-1.7050,-0.3981,1.757
3.151068,0.0369,-2.8556,-0.0912,2.857
3.171156,1.7058,-0.0029,-1.3295,2.163
3.191526,3.6493,2.2642,-1.5426,4.563
3.211699,3.7767,2.3954,1.0820,4.601
3.238598,-0.1234,1.3070,0.7684,1.521
3.252248,0.4294,2.3924,-0.5833,2.500
3.272560,2.9957,3.9157,-0.8889,5.010
3.292930,4.3829,6.5213,2.5283,8.254
3.316724,-1.0029,3.9094,3.7388,5.502
3.335045,-1.9807,1.8596,2.4987,3.691
3.353515,-1.6526,1.3025,0.4325,2.148
3.373997,-0.9160,1.7848,-1.3901,2.441
3.394489,-0.7062,2.7919,-3.1279,4.252
3.424054,-0.1488,0.9131,-3.1405,3.274
3.441516,-1.3298,-0.8158,-0.8532,1.778
3.455163,-1.4906,-0.9271,-0.6863,1.885
3.475479,-2.2223,-0.3045,1.9690,2.985
3.495771,-3.2137,0.0464,4.6829,5.680
3.516016,-3.1253,-0.3865,3.0665,4.396
3.536548,-3.1723,-1.2613,0.0210,3.414
3.556700,-4.3818,-2.3884,-2.9989,5.822
3.576927,-4.7122,-2.9100,-3.5194,6.562
3.597217,-1.3675,-5.4799,3.0166,6.403
3.617720,-2.0256,-3.8230,-1.2222,4.496
3.638016,-0.9077,-2.4614,-0.4074,2.655
3.658315,1.1074,-1.0322,-0.3651,1.557
3.678514,1.2285,-0.0166,-1.1162,1.660
3.698789,0.1588,0.5930,-2.4468,2.523
3.719704,1.3824,-1.0589,-4.3792,4.713
3.739630,1.9705,-2.0224,-1.0668,3.018
3.759941,1.3330,0.6363,0.7989,1.679
3.784851,2.0915,5.4225,3.8121,6.951
3.800824,3.9156,6.4966,4.5109,8.825
3.821565,-0.1817,1.2336,8.3617,8.454
3.850223,4.1617,4.0944,0.6305,5.872
3.864069,4.2510,6.4255,-1.4848,7.846
3.884344,2.5187,3.8471,-1.9494,4.994
3.904587,1.6002,-0.0544,-2.1531,2.683
3.925794,1.3562,-2.4189,-1.3070,3.066
3.946501,1.5114,-2.5309,-0.8480,3.067
3.965561,0.7462,-0.0307,-0.6371,0.982
3.985787,-0.3571,1.5445,0.0645,1.587
4.006084,-2.6017,1.8704,-1.0117,3.360
4.026486,-3.6426,1.1783,-2.4195,4.529
4.046837,-1.9291,0.2416,-5.4469,5.783
4.067039,-4.3585,0.2434,-1.7839,4.716
4.087258,-1.2870,0.4006,1.5576,2.060
4.113810,1.4743,-1.0544,1.1855,2.166
4.133012,2.1667,-2.1419,1.9179,3.600
4.148170,2.5884,-2.7869,1.6311,4.138
4.168913,2.9259,-3.2864,1.9440,4.810
4.189352,2.4411,-2.7897,1.2994,3.928
4.213892,1.1851,-2.8651,-0.4041,3.127
4.232693,-0.1851,-3.5044,-1.0442,3.661
4.249983,-1.5154,-3.5534,-1.1858,4.041
4.270237,-1.6506,-2.7959,-0.7505,3.332
4.290427,-0.9420,-2.0804,-0.4373,2.325
4.313360,0.7264,-0.7559,0.1253,1.056
4.332040,1.1855,0.2668,0.7740,1.441
4.351192,0.9077,-0.0346,1.2281,1.528
4.371539,0.6379,-0.7006,0.5631,1.102
4.391747,1.4860,-0.8602,-0.9392,1.957
4.412967,1.5845,-1.3421,-1.3217,2.461
4.455048,0.5082,-2.5494,-0.5489,2.657
4.455427,0.5082,-2.5494,-0.5489,2.657
4.472781,1.0588,-0.8655,-0.2620,1.392
4.492937,1.1999,0.4414,0.3084,1.315
4.513252,-0.5364,0.3770,0.1821,0.680
4.533541,-1.5174,0.3934,-0.8386,1.778
4.553916,-1.0062,1.7869,-0.8003,2.201
4.574269,4.0094,3.4019,1.0873,5.369
4.594429,4.3646,5.5159,2.6894,7.530
4.615043,3.4570,6.7638,2.5615,8.016
4.635194,0.3863,3.3807,2.5623,4.260
4.655501,-0.9429,1.0585,1.3822,1.980
4.678047,-0.9961,0.9147,-0.2555,1.376
4.700936,-1.1570,0.8359,-1.9572,2.422
4.722071,-1.0711,0.0724,-2.2985,2.537
4.741404,-0.7145,-0.4394,-1.1856,1.452
4.761735,-0.3342,-0.3041,0.2434,0.513
4.781929,-0.7810,0.1032,2.8330,2.941
4.802203,-2.1986,0.1615,4.7278,5.217
4.824181,-2.8415,-0.0078,1.6264,3.274
4.845881,-3.3785,-0.7143,-1.2530,3.674
4.864437,-4.3535,-1.2954,-3.5076,5.739
4.885816,-4.3191,-1.4396,-3.6391,5.828
4.905971,-3.3159,-1.5147,-2.8858,4.649
4.926455,-2.9808,-1.5611,-2.1266,3.981
4.948572,-3.2187,-1.6148,-1.1684,3.786
4.967033,-2.6056,-1.6405,-0.5701,3.131
4.987407,-1.2338,-1.1134,0.7186,1.811
5.007529,2.4998,-0.5488,2.2649,3.418
5.028318,4.7144,-0.8235,2.1679,5.254
5.053870,6.4123,-2.4060,0.9969,6.921
5.070462,5.7431,-3.0137,0.5240,6.507
5.089232,2.7451,-2.5632,0.8621,3.853
5.109565,2.2587,-1.5502,1.0036,2.918
5.133131,3.4520,0.5492,2.8033,4.481
5.153668,6.2402,3.2404,2.0737,7.331
5.175105,6.1180,2.5506,1.8602,6.884
5.195295,-0.4072,2.2909,2.9482,3.756
5.222476,-1.9852,-1.4694,1.7838,3.047
5.246846,-1.9305,-1.8041,-1.0204,2.832
5.259027,-0.1007,-0.2124,-2.7462,2.756
5.276455,1.7099,1.3948,-3.5938,4.217
5.296689,2.4774,3.4562,-3.2437,5.348
5.321714,-0.5648,3.8999,-1.2277,4.127
5.342427,-1.1274,2.3852,-0.6661,2.721
5.357128,-0.0912,1.3547,0.0178,1.358
5.377517,-0.1854,0.8434,4.1283,4.218
5.397681,-0.8484,0.9551,1.4658,1.944
5.421031,-0.8283,0.5081,-1.9378,2.168
5.444028,-2.1491,0.1907,-2.6466,3.415
5.458418,-3.1722,0.0188,-2.9872,4.357
5.479082,-3.5427,0.3413,-2.9361,4.614
5.499249,-0.9345,0.7037,-0.3688,1.227
5.520449,0.1446,0.6682,0.5930,0.905
5.541768,0.6679,-0.1204,0.6180,0.918
5.560370,0.9805,-0.9767,0.1716,1.395
5.580574,1.5995,-1.9608,0.2999,2.548
5.602012,2.4177,-2.2799,0.7681,3.411
5.624132,3.1024,-1.8415,0.9049,3.719
5.652192,2.8764,-1.3377,0.9356,3.307
5.664384,2.5066,-1.5388,0.7953,3.047
5.682795,1.5358,-1.9081,0.4813,2.496
5.703106,1.7488,-1.9111,0.5044,2.639
5.723368,2.9920,-2.0194,1.0284,3.753
5.750668,2.8536,-2.6511,1.2061,4.077
5.763786,2.3164,-3.0172,1.2057,3.990
5.784233,2.5544,-2.3268,1.5171,3.774
5.804537,3.0643,-0.6933,0.9765,3.290
5.827259,1.5434,0.7980,3.0820,3.538
5.850800,-1.9822,2.9214,3.9139,5.271
5.871069,-0.5511,3.6035,-1.5096,3.946
5.888619,-0.4585,4.8474,-2.0117,5.268
5.908936,-1.5095,7.3804,-1.2308,7.633
5.933160,-0.8626,8.9661,-1.1529,9.081
5.964788,-2.8047,1.8001,-1.3220,3.585
5.975027,-2.3518,0.6050,-0.7607,2.545
5.991636,-0.9008,-1.1987,2.4189,2.846
6.010470,0.3095,-1.6896,4.6928,4.997
6.031672,-0.4083,-0.1848,2.9869,3.020
6.057578,0.0495,-0.2226,-0.3537,0.421
6.071567,0.3882,-0.4651,-0.0727,0.610
6.092155,-1.9589,-0.3270,-0.8422,2.157
6.112684,-3.5893,-0.2840,-1.4558,3.884
6.132846,-5.6848,-0.6889,-2.3501,6.190
6.162233,-6.7632,-1.0710,-2.2514,7.208
6.174289,-6.0955,-1.1431,-1.4571,6.371
6.194258,-4.8285,-1.1645,-1.0478,5.076
6.215750,-2.9798,-1.4015,-1.1474,3.487
6.243904,-1.6653,-1.7503,-1.5598,2.876
6.272413,-1.1088,-2.3940,-0.9854,2.816
6.284251,-0.8030,-2.6171,-0.3657,2.762
6.297276,-0.7973,-2.6873,0.0161,2.803
6.318679,-0.2538,-2.9668,1.0595,3.161
6.338760,0.1843,-2.5233,1.9230,3.178
6.361258,1.4682,-0.9128,1.0511,2.023
6.379714,2.4168,0.2647,0.2687,2.446
6.401574,3.2465,1.4581,-0.1925,3.564
6.429595,1.1183,0.3407,6.3314,6.438
6.464252,2.6577,2.8126,2.5989,4.661
6.464627,2.6577,2.8126,2.5989,4.661
6.482673,1.1642,4.6409,0.3828,4.800
6.503121,-3.4439,4.9744,-2.8879,6.704
6.529035,-3.7746,0.2582,-3.1877,4.947
6.570484,2.7271,0.5161,-0.1643,2.780
6.570896,2.7271,0.5161,-0.1643,2.780
6.586686,5.7528,2.4357,0.3381,6.256
