time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001382,-0.1251,-0.1186,0.5991,0.623
0.008825,-0.3642,-0.0403,1.2405,1.293
0.035438,-0.1254,0.1187,0.8642,0.881
0.053954,-0.0861,0.0070,0.8521,0.856
0.084056,-0.1725,0.0716,0.8421,0.863
0.088803,-0.1725,0.0716,0.8421,0.863
0.108630,-0.1972,-0.0472,0.6265,0.658
0.128926,0.1462,-0.3531,0.0391,0.384
0.153790,0.4351,-0.5176,0.2175,0.710
0.189801,0.6506,-0.4248,-0.4087,0.878
0.195060,0.6617,-0.3339,-0.4381,0.861
0.210476,-0.2332,-0.2624,0.1094,0.368
0.231289,0.3177,-0.5595,-0.3430,0.729
0.253809,0.2159,-0.7301,-0.4461,0.882
0.284616,-0.2202,-0.6800,-0.0734,0.719
0.300149,0.3765,-0.2251,-0.8392,0.947
0.312758,0.1692,-0.2310,-0.8760,0.922
0.333794,0.2582,-0.3066,0.2673,0.482
0.361418,0.6575,-0.3527,0.1920,0.770
0.380497,0.7298,-0.7085,0.2767,1.054
0.394852,0.3190,-0.7097,0.3663,0.860
0.415170,0.4111,-0.9203,0.3654,1.072
0.435332,0.3566,-1.3832,0.8473,1.661
0.458783,0.0218,-1.5979,0.3640,1.639
0.489336,-0.8944,-1.7835,-0.0086,1.995
0.500242,-0.8647,-1.6680,1.2009,2.230
0.516963,-0.5276,-1.9494,1.9943,2.838
0.548430,0.6279,-2.4846,0.3799,2.591
0.578767,-0.4549,-2.9898,0.2255,3.033
0.579299,-0.4549,-2.9898,0.2255,3.033
0.599011,-0.9014,-2.6855,-1.2259,3.087
0.619302,2.2361,-3.9792,0.0175,4.565
0.647315,0.8169,-3.7790,2.0698,4.385
0.674104,-0.7447,-4.7635,-1.3944,5.019
0.687491,-2.2801,-4.4362,1.6020,5.239
0.700826,-3.9884,-3.2001,4.7619,6.987
0.721474,-5.2461,-3.9300,5.0158,8.254
0.747767,-1.7231,-5.3935,1.1897,5.786
0.778206,-1.4591,-5.6308,0.0888,5.817
0.791911,-2.3893,-5.6558,-0.0748,6.140
0.803997,-3.1845,-6.1890,-0.1357,6.962
0.825028,-4.6807,-4.6496,0.7055,6.635
0.849004,-4.2102,6.7819,1.7911,8.181
0.878527,-7.2405,24.0419,-3.9846,25.423
0.893429,-2.5277,20.6211,3.0396,20.997
0.919995,0.9722,12.7072,0.0258,12.744
0.934649,-0.6663,7.3121,-2.8072,7.861
0.978976,0.6190,-3.3180,-1.0142,3.524
0.979383,0.6190,-3.3180,-1.0142,3.524
0.989762,0.7557,-3.7959,-1.1049,4.025
1.016587,1.0847,-3.6920,-2.3337,4.500
1.028476,0.6723,-3.3387,-3.0458,4.569
1.049090,-0.6208,-3.7830,-3.1018,4.931
1.071438,-1.5862,-5.0806,-2.3435,5.816
1.089962,-1.6679,-5.8722,-1.7960,6.363
1.110424,-2.2735,-6.9915,-1.5598,7.516
1.131401,-2.6481,-7.4021,-1.3817,7.982
1.158050,-2.3497,-6.1429,-2.3605,6.988
1.188672,-0.1481,-1.8826,-1.2010,2.238
1.202378,0.7286,-0.4291,1.7151,1.912
1.214504,2.3065,4.5457,12.8842,13.856
1.253822,1.0738,0.5902,-7.5424,7.641
1.254437,1.0738,0.5902,-7.5424,7.641
1.296939,-1.5958,4.0965,24.5942,24.984
1.297662,-1.5958,4.0965,24.5942,24.984
1.348185,1.7651,4.7081,-6.0996,7.905
1.348687,0.5402,3.6013,-3.5490,5.085
1.389377,-1.4667,2.0511,-1.7188,3.052
1.389850,-1.4667,2.0511,-1.7188,3.052
1.415831,1.4799,8.2117,0.3532,8.351
1.430439,1.9080,9.1449,5.1349,10.660
1.445408,-0.0569,3.0233,0.4836,3.062
1.497302,-1.1822,-3.0169,-3.2630,4.599
1.497831,-1.1822,-3.0169,-3.2630,4.599
1.521734,-1.1280,-3.4666,-1.6443,3.999
1.522157,-1.1280,-3.4666,-1.6443,3.999
1.539079,-0.6908,-1.8369,-0.9483,2.180
1.559452,-0.1216,0.2434,-0.4507,0.526
1.579978,-0.3392,0.1424,-0.1412,0.394
1.601278,-1.7640,-1.3205,0.8693,2.369
