time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001375,0.0569,0.1421,0.1130,0.190
0.035639,0.0046,-0.3359,-0.1009,0.351
0.045332,-0.0751,-0.5148,0.0677,0.525
0.071000,0.1314,-0.4944,0.1447,0.532
0.081963,0.2502,-0.4982,0.0212,0.558
0.102872,0.4099,-0.3839,0.2807,0.628
0.136340,-0.1361,-0.0937,-0.2828,0.328
0.143583,-0.0510,-0.1335,-0.4531,0.475
0.183351,-0.2829,0.0484,0.1788,0.338
0.195322,-0.5060,0.0536,0.4035,0.649
0.220309,0.1358,0.0007,-0.4129,0.435
0.230372,0.1368,0.0454,-0.1160,0.185
0.251769,0.1540,0.3184,0.2703,0.445
0.265895,0.4618,0.1888,0.2595,0.562
0.286180,0.2240,0.0982,-0.0306,0.246
0.306582,-0.2811,0.1324,-0.0231,0.312
0.330131,-0.1683,-0.0573,-0.6054,0.631
0.351909,-0.2322,0.4401,1.5551,1.633
0.368243,0.0570,0.6418,0.8966,1.104
0.388903,0.1748,0.7753,-0.7004,1.059
0.409454,-0.7388,0.9186,-0.1620,1.190
0.429854,-0.1123,0.6557,0.0891,0.671
0.453466,-0.0492,0.3926,-0.5453,0.674
0.470922,0.3922,0.0891,-1.2438,1.307
0.491370,0.2701,-0.2373,-0.2616,0.445
0.511753,-0.5685,0.3233,1.6935,1.815
0.542687,-1.0883,0.4731,0.1871,1.201
0.552496,-0.5711,0.6327,-0.5723,1.027
0.573674,-0.4121,0.5387,-0.3411,0.759
0.594007,-0.0492,0.1897,0.1223,0.231
0.614398,0.0775,-0.1484,-0.0574,0.177
0.641781,-0.1018,-0.6124,-0.0997,0.629
0.667562,-0.1881,-1.1510,0.3173,1.209
0.675606,-0.1181,-1.3485,0.6228,1.490
0.695987,0.0900,-2.1710,0.7221,2.290
0.717056,-0.3155,-1.6512,0.6075,1.787
0.742304,-0.3009,-0.7469,1.3252,1.551
0.771225,0.8356,-0.8981,0.1874,1.241
0.782705,0.9386,-0.8978,0.3853,1.355
0.798697,0.8621,-0.9492,0.5898,1.411
0.819502,-0.2681,-1.7540,-0.8193,1.954
0.842622,-1.1572,-2.4193,-0.1768,2.688
0.867550,-2.1671,-2.9099,0.9053,3.739
0.882230,-0.3515,-4.0082,2.4963,4.735
0.901363,0.3721,-5.0807,2.1947,5.547
0.921647,0.9800,-4.2744,1.0870,4.518
0.941911,5.5854,-4.7268,-0.3578,7.326
0.968213,6.8482,-3.1355,2.9880,8.103
0.982626,4.8190,-2.1948,1.2396,5.438
1.003073,-9.5346,5.7657,-3.7284,11.750
1.048934,0.3569,4.8057,-2.1315,5.269
1.049871,0.3569,4.8057,-2.1315,5.269
1.087439,-3.3967,5.1691,0.7965,6.236
1.087775,-3.3967,5.1691,0.7965,6.236
1.108062,-4.3850,3.1773,3.5270,6.462
1.125823,3.2043,-1.7281,6.7304,7.652
1.146646,3.8465,-3.6137,-0.5355,5.305
1.167395,3.2817,-2.3781,-3.6231,5.436
1.188194,2.5372,-0.0989,-1.0075,2.732
1.209036,-0.5375,2.0791,0.1590,2.153
1.238317,-1.1812,2.3282,-0.7891,2.727
1.259666,-1.0317,0.9363,-1.2096,1.845
1.269075,-1.1495,0.2699,-0.4658,1.269
1.289957,-1.8429,-1.0435,-0.1676,2.124
1.310552,-2.5163,-1.1778,-1.0439,2.968
1.340204,-2.1895,-1.1473,-0.6267,2.550
1.366506,-0.8190,-2.0658,-0.8588,2.382
1.381004,-0.2280,-2.4486,-0.4582,2.502
1.392954,-0.2561,-2.3747,-0.3802,2.419
1.412563,-1.5976,-2.0136,0.2703,2.585
1.440222,-2.8012,-2.7352,1.3386,4.138
1.466746,-3.2509,-3.8230,2.0869,5.435
1.481973,-3.7509,-3.8883,3.0661,6.212
1.496218,-4.0639,-4.1567,5.4466,7.966
1.516998,-1.9284,-1.6947,5.2174,5.815
1.541879,2.1656,1.8118,1.7480,3.321
1.567102,1.4325,5.9686,-3.6055,7.119
1.581430,-1.8098,5.7163,-1.1969,6.114
1.599626,-2.3967,3.5511,-0.6776,4.337
1.619884,1.0292,1.2654,-2.6228,3.089
1.640528,2.1479,0.8146,-4.0784,4.681
1.664294,2.8422,0.2852,-3.3056,4.369
1.681736,3.2606,-0.2015,-0.7371,3.349
1.705888,2.0347,0.1097,0.2302,2.051
1.726326,1.4219,-0.0633,-0.4308,1.487
1.748878,0.7388,-0.9823,-1.1898,1.711
1.772708,-0.5239,-0.8642,-0.8290,1.307
1.787387,-1.5310,-0.9043,-0.0873,1.780
1.807922,-2.0115,-1.2276,0.0483,2.357
1.828903,-2.1689,-1.3428,-0.0844,2.552
1.850471,-1.8846,-1.0322,-0.6678,2.250
1.879820,-1.3447,-1.6729,0.3975,2.183
1.893472,-0.8437,-2.1580,0.6914,2.418
1.913881,-0.0112,-1.6938,0.0023,1.694
1.935855,0.7437,0.1292,0.3609,0.837
1.962875,3.3922,-0.6732,0.5464,3.501
1.979427,5.2397,-1.6693,0.9135,5.575
1.996484,2.0689,-1.7174,0.4081,2.720
2.016627,1.6068,-0.8618,0.6637,1.940
2.036952,2.4750,-0.2082,1.2619,2.786
2.064297,1.8448,1.1031,0.7085,2.263
2.077967,1.4604,2.9882,0.5274,3.368
2.098709,1.9139,4.6380,0.6881,5.064
2.118700,0.5073,8.3184,0.9782,8.391
2.139472,1.0109,10.0543,1.3662,10.197
2.184697,0.5820,3.7814,3.9863,5.525
2.185290,0.5820,3.7814,3.9863,5.525
2.217912,0.1164,1.4528,3.9053,4.168
2.235096,0.2147,0.5017,3.0505,3.099
2.248928,3.3639,1.2058,-1.0557,3.726
2.262071,2.0772,-0.7179,-2.1756,3.092
2.282419,-0.6707,-0.7875,-3.5730,3.720
2.302901,-0.4776,-0.3252,-6.8247,6.849
2.324038,-1.9396,-0.1896,-5.7281,6.051
2.345937,-2.1377,-0.5068,-3.7251,4.325
2.368016,-1.9875,-1.8198,-0.0542,2.695
2.384328,-2.3606,-1.5935,1.9675,3.462
2.404681,-1.7403,-0.7033,-1.6200,2.479
2.425327,-2.2590,-0.5549,-4.3794,4.959
2.447623,-3.1798,-1.2632,-5.9607,6.873
2.475147,-2.6497,-1.8860,-3.7578,4.970
2.488222,-1.9278,-2.5483,-1.3870,3.483
2.507535,-1.6641,-2.5887,-0.7279,3.162
2.527829,-2.1392,-2.1251,-1.1706,3.235
2.548331,-3.1719,-2.2300,-0.4322,3.901
2.572445,-3.9306,-2.9707,-0.4153,4.944
2.588943,-4.1360,-3.7005,-0.7465,5.600
2.609453,-4.6130,-4.9354,5.1842,8.516
