time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.009882,0.6725,-0.7835,1.0640,1.483
0.024845,0.2425,-0.4330,1.1384,1.242
0.039326,-0.0033,-0.1545,0.9747,0.987
0.081594,-0.2319,0.2924,0.2998,0.479
0.094508,-0.6588,0.3129,-1.1979,1.403
0.105891,-0.4453,0.0400,-1.8773,1.930
0.120055,-0.8387,-0.0734,-1.5869,1.796
0.138607,-0.5990,-0.0875,-0.0139,0.606
0.162620,0.0229,0.0364,0.6236,0.625
0.186304,0.3218,0.3269,-0.0294,0.460
0.200830,0.2389,0.3807,0.1886,0.487
0.221951,0.4059,-0.0484,-0.5025,0.648
0.260761,-0.3236,0.0594,-0.4271,0.539
0.263954,-0.3236,0.0594,-0.4271,0.539
0.291029,0.3726,0.1619,0.0573,0.410
0.302750,-0.5026,-0.0468,0.3184,0.597
0.323390,-1.0746,-1.0404,0.0484,1.496
0.354915,-0.1787,-4.0769,1.7882,4.455
0.385741,4.2989,0.1423,-0.8418,4.383
0.393121,6.2285,0.4815,-1.4686,6.417
0.405647,2.3896,-1.3954,-2.0605,3.450
0.426185,-0.0629,-0.3474,-0.3770,0.516
0.454199,-1.7376,-2.0771,-0.2141,2.717
0.475183,-0.0285,-3.7854,-0.8850,3.888
0.487092,-1.4564,-1.3482,-0.8368,2.154
0.507251,0.2367,-2.4074,0.9477,2.598
0.527687,1.7093,-2.2940,3.4736,4.500
0.553719,-2.3295,-1.6542,1.2175,3.106
0.576232,1.9364,-2.2598,0.2235,2.984
0.589595,0.8576,-2.4489,-0.5308,2.648
0.610321,0.9758,-2.3607,-2.6755,3.699
0.629830,0.2344,-2.0045,-1.5039,2.517
0.652785,-2.7821,-1.9738,-0.3479,3.429
0.670914,-5.1070,-1.9206,-0.0563,5.456
0.692687,-4.7544,-0.3115,1.5884,5.022
0.713767,-8.3956,11.0324,1.5974,13.955
0.758112,2.3614,-0.0450,-2.5427,3.470
0.758798,2.3614,-0.0450,-2.5427,3.470
0.793391,1.1678,-0.4620,-0.2826,1.287
0.810162,-1.4469,1.2158,3.0062,3.551
0.820583,-3.1895,1.9739,3.8448,5.371
0.840828,-4.9150,1.5914,4.2084,6.663
0.863195,-1.9855,1.1525,4.0554,4.660
0.883089,-0.9815,1.7472,2.4170,3.140
0.902113,0.5853,1.9588,-1.7446,2.688
0.922450,0.0861,1.5829,-3.4760,3.820
0.942886,0.2968,1.0246,-4.0039,4.144
0.964693,1.1657,0.8915,-2.1982,2.643
0.985584,1.9980,0.3391,1.5176,2.532
1.004260,0.2045,-0.0530,0.9031,0.927
1.025145,-2.6716,-0.4691,-1.3844,3.045
1.055091,-1.1610,-1.3780,-0.2725,1.822
1.081421,0.0166,-1.7283,-1.6435,2.385
1.095810,0.2629,-1.8822,-2.2879,2.974
1.108500,0.4911,-2.0551,-2.5495,3.311
1.128549,0.4495,-2.6453,-1.8780,3.275
1.154871,-0.2255,-2.8465,-1.2913,3.134
1.182646,-0.9256,-2.8524,-0.7346,3.088
1.195653,-1.1717,-2.9236,-0.2548,3.160
1.211305,-1.6123,-2.9978,-0.1831,3.409
1.232019,-2.0301,-2.6503,0.6451,3.400
1.254481,-1.2147,-2.2384,1.5283,2.970
1.281397,0.6605,-1.9230,-0.3376,2.061
1.293049,0.6539,-1.9812,-0.7830,2.228
1.313235,-0.5887,-2.3315,0.4790,2.452
1.333489,-1.5138,-2.9175,3.1341,4.542
1.354106,-1.6646,-3.1381,5.0675,6.189
1.374897,-1.7583,-0.1532,1.8348,2.546
1.395712,1.0357,12.7446,9.9108,16.178
1.432091,-0.6142,2.2777,-2.5761,3.493
1.445641,-1.7885,0.6022,1.7408,2.567
1.466872,-1.5686,-2.4677,1.1466,3.141
1.480526,-1.1766,-1.2995,-1.6126,2.382
1.498919,-1.2920,0.8438,-1.8936,2.443
1.518448,-0.5973,2.6126,-1.6635,3.154
1.539529,0.8665,1.5041,-1.0944,2.052
1.561107,-0.1941,-0.0336,-1.5297,1.542
1.581787,-0.8449,-1.1992,-2.5029,2.901
1.601004,0.1501,-1.0139,-2.4791,2.683
1.621365,1.0637,-0.5985,-1.3472,1.818
1.642341,1.1304,-0.7885,-0.4348,1.445
1.666809,0.5080,-0.4094,-1.0998,1.279
1.700374,0.6122,0.0919,-1.7737,1.879
1.711509,0.7225,-0.1329,-1.3918,1.574
1.723363,0.3639,-0.6921,-0.5936,0.982
1.743809,0.1399,-1.0037,0.2675,1.048
1.764427,0.6844,-1.2346,0.2469,1.433
1.784614,0.8087,-1.7532,0.6251,2.029
1.805265,0.3068,-1.9033,1.2356,2.290
1.825729,-0.9054,-1.8055,2.1089,2.920
1.846383,-0.7765,-1.6479,2.2132,2.866
1.873853,0.8553,-1.7080,1.5882,2.484
1.898939,2.9696,-0.9841,-0.3106,3.144
1.907462,2.7864,-0.6247,-0.3085,2.872
1.928002,1.7738,0.3047,0.5600,1.885
1.950833,1.0580,0.9710,1.9201,2.398
1.970688,0.2476,1.0597,2.0092,2.285
1.991279,-0.1312,1.6816,1.6122,2.333
2.011933,-0.9500,2.6165,0.4736,2.824
2.032197,-0.5890,3.5562,-0.8315,3.699
2.062551,-0.4265,6.3751,-1.8858,6.662
2.091366,2.9501,6.5991,1.7880,7.446
2.104434,2.3417,5.5474,2.0813,6.371
2.114920,1.2788,3.1336,2.0537,3.959
2.135407,1.5213,1.2502,2.2029,2.955
2.163237,1.5996,2.3318,2.9577,4.092
2.189106,1.2292,2.9183,5.1083,6.010
2.203004,1.1757,1.1210,5.6290,5.859
2.218999,0.7967,-1.2538,1.9106,2.420
2.239434,-1.4617,-2.2892,-4.7854,5.502
2.262806,-0.2145,-1.1109,-9.5114,9.578
2.286153,0.3091,0.1678,-6.3189,6.329
2.301792,0.9677,2.6245,-3.6523,4.600
2.322520,0.2593,2.0394,7.6134,7.886
2.342661,-3.3102,1.5301,5.4055,6.521
2.363129,-5.0445,-0.6798,-5.2575,7.318
2.392151,-3.5242,-2.7630,-6.5434,7.929
2.403961,-2.0668,-3.8354,-4.2328,6.074
2.424156,-2.0497,-3.5727,-2.4826,4.809
2.444471,-1.1255,-2.8647,-3.0346,4.322
2.469091,-0.3468,-2.8228,-4.6010,5.409
2.487861,0.4461,-3.6108,-5.1682,6.320
2.505635,0.4751,-4.4339,-2.3714,5.051
2.526275,-0.9010,-4.3449,-0.3784,4.453
2.547301,-1.5790,-3.6631,1.7220,4.345
2.571830,-0.9356,-2.7390,5.3503,6.083
2.592928,1.2134,-3.2506,6.2953,7.188
2.608508,3.0940,-3.0866,3.9176,5.869
2.628870,0.8191,1.6913,-1.2735,2.270
2.651955,-8.3670,8.6132,3.1564,12.416
2.688752,1.1960,6.4177,-4.0263,7.670
2.704221,-0.0534,2.6857,-2.2906,3.530
2.728005,0.3046,0.3825,-0.9009,1.025
2.737154,0.4824,0.1181,-1.4901,1.571
2.754175,0.7888,0.1003,-3.1275,3.227
2.783201,-0.2947,0.1930,-2.8632,2.885
2.803134,-0.1709,0.2753,-1.7359,1.766
2.815690,-0.3026,0.3748,-1.4602,1.538
2.836447,-1.0135,0.9432,-1.5322,2.065
2.871425,-1.8238,-0.0704,0.1136,1.829
2.893792,-2.0631,-1.1765,0.8826,2.534
2.905951,-1.7724,-1.5737,0.7217,2.478
2.919455,-0.7904,-2.1248,-0.0872,2.269
2.939638,0.1183,-1.9288,-1.3222,2.341
2.969387,1.5126,-1.9632,-1.1922,2.750
2.991727,3.5079,-2.0761,-0.1527,4.079
3.000238,4.3216,-2.0345,0.6467,4.820
3.020564,2.9523,-1.9063,2.8296,4.512
3.041135,1.1016,-1.5537,1.8466,2.653
3.065778,0.3025,-0.3987,1.5263,1.606
3.081357,0.4008,-0.1379,2.6056,2.640
3.112068,-1.4178,-0.5274,1.3231,2.010
3.127711,-1.0487,-0.5331,1.0727,1.592
3.143891,1.4269,0.1997,1.8260,2.326
3.168967,3.5776,0.5007,2.0461,4.152
3.191583,2.8190,1.3856,1.5780,3.515
3.204657,2.5184,1.8190,0.2504,3.117
3.225031,2.0092,3.2186,-1.8103,4.204
